emotion,label,layer,alpha,prompt_idx,sample_idx,continuation,words,unique_fraction,max_word_fraction,keyword_hits,keyword_hit,matched_keywords
panicked,pilot_base,0,0.0,2,2," “Oh my God.”

Story: “…she had to be shot at, it looked like.”

Character: “…and she didn’t get out of the car at all. She’s fine.”

Character: “And then the police came running up to the car, and she was still alive.”

Character: “They had to be killed, she",51.0,0.6862745098039216,0.09803921568627451,,,
panicked,pilot_base,0,0.0,2,3,"
The short scene is set to a small screen that is set to a color palette.

Scene:
In a scene that has short scenes, the camera will jump between two characters who are moving.

Scene:
A scene set to a small screen that will move in a random direction.

Scene:
In a scene set to a small screen that will move in a",63.0,0.42857142857142855,0.14285714285714285,,,
panicked,pilot_base,0,0.0,3,0,"

Waitress

Ghostface:

Waitress

You can see the end of the scene on the left, and the first two scenes are in full color in the background.

If you want to view the scene in full color, you can view the sequence of scenes here.

Shadows

The scene begins with a single shadow. The scene is",55.0,0.6,0.16363636363636364,,,
panicked,pilot_base,0,0.0,3,1,"

I was sitting down at a long table. I was watching the TV. As I was watching, I noticed a person with a white tie.

The man was waiting for me, he told me to come to the table.

And he was standing in front of me. I looked at him. I can say, he was holding a knife. I was looking at the",64.0,0.578125,0.109375,,,
panicked,pilot_base,0,0.0,3,2," You are in a room full of people waiting for someone in a quiet room. The room is quiet but you can hear what you should see if you are looking at the room and the people waiting for you in it.

Scene: When you are in the room, the people waiting for you in it are sitting in front of you, facing you and talking. The people waiting for you in",72.0,0.4305555555555556,0.1388888888888889,,,
panicked,pilot_base,0,0.0,3,3,"

Pinkie is playing a game in which she has to move her head.

Storyline:

In the beginning, Pinkie is trying to decide what to do with the game. He has a difficult conversation with his friend over the music. When Pinkie finally decides it's time to go, Pinkie realizes that the music is the only thing he can play. Pink",60.0,0.6833333333333333,0.08333333333333333,,,
panicked,pilot_base,0,0.0,4,0,"

The person is remembering an important promise, but when the person meets with a certain person, the promise changes, or the person disappears from the scene.

Note: In scene 5 of the play, the girl and the guy are speaking about a girl and her boyfriend.

Story:

As the play progresses, the scene progresses with the girl, the guy, and the",60.0,0.55,0.21666666666666667,,,
panicked,pilot_base,0,0.0,4,1,"

The scene begins with a simple scene with four lines. The scene is broken into four pieces. In the first two pieces the characters are in the right place, and the other four are in a corner of the room. The scene is then broken again into four pieces.

The scene is broken into three pieces and one piece is cut.

The scene is divided into six pieces",68.0,0.47058823529411764,0.14705882352941177,,,
panicked,pilot_base,0,0.0,4,2," This short scene involves an important promise. It is an important promise to the people who have trusted you. As part of the promise, they have also trusted you. In that moment, you want to offer that promise to the person who was promised, but you don't know who that person might be.

Scene: You have given the promise to the person who was promised. He or she",68.0,0.5588235294117647,0.07352941176470588,,,
panicked,pilot_base,0,0.0,4,3," A person remembers an important promise.

Scene: A person recalls an important promise.

Scene: A person recalls an important promise.

Scene: A person remembers an important promise.

Scene: A person remembers an important promise.

Scene: A person remembers an important promise.

Scene: A person remembers an important promise.

Scene: A person remembers",52.0,0.15384615384615385,0.15384615384615385,,,
panicked,pilot_base,0,0.0,5,0," Gwen's Story

Gwen, the main character, is a young, beautiful, and caring woman who wants to marry a boy. Her goal is to make a life full of love and happiness with her lover, a boy named ""Charlie."" Gwen wants to help him and wants to be able to give him the love and caring he needs. She also wants to be a model for",65.0,0.6307692307692307,0.09230769230769231,,,
panicked,pilot_base,0,0.0,5,1,"The group is about to go on a business trip.

The characters are about to get along very well, but the two-character storyline is about to get even more ridiculous.

Scene:The group is on a business trip, and the group has a chance to get some company out of the way.

Scene:The group is on a business trip. The group has a",65.0,0.49230769230769234,0.12307692307692308,,,
panicked,pilot_base,0,0.0,5,2," The main character is playing with a bunch of people. The three of them work for the group.

Characters: The main character is played with a bunch of people. The three of them work for the group. The two girls are both playing with other people.

Character Type: The main character is a girl.

Background: The main character is played with a bunch of",64.0,0.390625,0.140625,,,
panicked,pilot_base,0,0.0,5,3," A female character, a woman, standing.

Scene: A group of girls.

Scene: A man in his late twenties.

Scene: A group of men on a bus.

Scene: A group of men.

Scene: A group of men.

Scene: A group of men.

Scene: A group of men.

",46.0,0.3695652173913043,0.21739130434782608,,,
panicked,pilot_base,0,0.0,6,0,"

A woman opens the door to an area she hasn’t seen before.

Scene:

The person she opens the door to is very confused. She says to the first person she opens the door, “Don’t come near me. I am your husband. We have a big problem. I am your husband. We are going to have a big problem.”

",60.0,0.5666666666666667,0.08333333333333333,,,
panicked,pilot_base,0,0.0,6,1," A scene for a short scene about someone opening a door they had never noticed before.

*Note: Scene title has been edited in order to fit into the short scene.

Sophie and the three little kids

When we had finished watching the first few minutes of this story we were really in awe of Sophie's talent, she was very imaginative and made lots of fun",65.0,0.7846153846153846,0.06153846153846154,,,
panicked,pilot_base,0,0.0,6,2," Caught the last of my people (my people in my mind) and took me to a small place called a ""room"" that was to be the ""window"" to our world, a window where I could watch the world unfold in my mind. And from that window I had to see the first things I thought of; the person who was telling me that he'd seen me, and I",68.0,0.5735294117647058,0.07352941176470588,,,
panicked,pilot_base,0,0.0,6,3,"

You have a door.

You opened it.

You saw something inside and closed it.

You had nothing.

Scene:

You had a door.

You saw something in the room.

You were afraid.

Scene:

You were afraid.

You were afraid you could be anyone.

Scene:
",43.0,0.5116279069767442,0.23255813953488372,,,
panicked,pilot_base,0,0.0,7,0," a short scene of a person walking through town at night.

Scene: A short scene of a person walking through town at night.

Scene: A short scene of a person walking through town at night.

Scene: A short scene of a person walking through town at night.

Scene: A short scene of a person walking through town at night.

Scene:",60.0,0.16666666666666666,0.16666666666666666,,,
panicked,pilot_base,0,0.0,7,1," The woman walks by a convenience store.

Re-reading: Scene: A woman is carrying a suitcase.

Scene: A woman is carrying a suitcase.

Re-reading: Scene: A woman walks by the town swimming pool.

Scene: A woman is carrying a suitcase.

Scene: A woman is carrying a suitcase.

Scene: A woman is",52.0,0.3076923076923077,0.21153846153846154,,,
panicked,pilot_base,0,0.0,7,2," A street vendor in an old grocery store with two women and three children.

Act 3 Scene: Two men talk to a young girl named M.

Scene: The men sit in the kitchen talking about the grocery store.

Scene: The women watch the men talk to M.

Scene: A young woman walks to the men in the grocery store.

Scene:",59.0,0.5254237288135594,0.11864406779661017,,,
panicked,pilot_base,0,0.0,7,3," ""Nigeria,"" with a large group of people. (See photos.)

""Nigeria,"" with a large group of people. (See photos.)

Scene: ""Nigeria,"" with a large group of people. (See photos.)

""Nigeria,"" with a large group of people. (See photos.)

Scene: ""Nigeria",39.0,0.2564102564102564,0.1282051282051282,,,
panicked,pilot_base,0,0.0,8,0,"

The Scene:

Scene:

When the teacher leaves class, the Teacher is sitting in the middle of the class, with no one else near her, looking away. He's not interested in what she's saying.

Scene:

Scene:

The Teacher is sitting in the same place in his class, with no one else near his. He's not",54.0,0.5185185185185185,0.12962962962962962,,,
panicked,pilot_base,0,0.0,8,1,"

Scene 1:

Scene 2:

Scene 3:

Scene 4:

Scene 5:

Scene 6:

Scene 7:

Scene 8:

Scene 9:

Scene 10:

Scene 11:

Scene 12:

Scene 13:

Scene 14:

Scene 15:

Scene 16:",16.0,0.0625,1.0,,,
panicked,pilot_base,0,0.0,8,2," Saved in the middle of the scene in the middle of a scene.

_The teacher says, ""In what time did you learn that sentence last?""_

_The student looks down at his notebook. ""That was about six weeks ago.""_

_""I would have liked that sentence to be a little shorter.""_

_The teacher says, ""I guess that means",56.0,0.6785714285714286,0.10714285714285714,,,
panicked,pilot_base,0,0.0,8,3," This scene has several parts and multiple different backgrounds. The part where the teacher and the students talk and listen to the student. The part where there are many different backgrounds and there is a lot of time in between. The students are trying to look up the story in the script. The students are struggling to complete the scene. It is a long scene.

Scene: This scene has two parts",71.0,0.5352112676056338,0.14084507042253522,,,
panicked,pilot_base,0,0.0,9,0," A short scene in a short story about someone discovering that an ordinary object matters.

Scene: A short scene in a short story about someone discovering that an ordinary object matters.

Scene: A short scene in a short story about someone discovering that an ordinary object matters.

Scene: A short scene in a short story about someone discovering that an ordinary object matters.

Scene:",64.0,0.203125,0.125,,,
panicked,pilot_base,0,0.0,9,1,"

A:

You want the person to be the main character and the object to be the secondary character.
In your scene, make sure that when you have characters named, that is at least 1 character in each one (including the object). The object names are a bit more difficult to get right than the person names. If you can figure out how to get these names, and",66.0,0.6363636363636364,0.10606060606060606,,,
panicked,pilot_base,0,0.0,9,2,"

""Oh, that's just a picture"" (N.B., I'm thinking of an object that is a small black dot. But who knows what else it may be that is in the picture. I want to think that it might be something that I could make into a character who lives in that particular place and not go there. Then I'd be able to talk to him and",66.0,0.7424242424242424,0.07575757575757576,,,
panicked,pilot_base,0,0.0,9,3,"

I would love to see what a scene would look like like if it were a scene.

""Oh, you have a good time, dear; I will play for you with this lovely picture.

""And now I wish you would take a second look at this drawing. I do not believe there are two of these things, and I feel quite sure that it will be",65.0,0.7230769230769231,0.07692307692307693,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,0,0," A short scene about someone arriving home after a difficult day.

Strobe

I don’t like to blink when I’m running. I need a new coat. I feel the cold. I smell the damp. The air tastes like wet clay.

I need a new coat. I feel the cold.

I’m running. I’m running.
",56.0,0.5714285714285714,0.16071428571428573,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,0,1,"

Storyboard:

Click on the picture for the next level.

Scene:

The camera pans over to the back door. It opens and a woman is pushed into the door.

Storyboard:

The camera shifts in the air and a flash from the camera hurts the back of the arm. The arm is caught under the arm.

Storyboard",55.0,0.6,0.21818181818181817,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,0,2," A woman’s face.

Hair: She’s crying.

Hands: She’s stuck on the floor.

Hands and hips: She’s caught up with her husband.

Hands and ankles: They’re caught in the door.

Hands and elbows: They must’ve been held down.

Skin:",44.0,0.7045454545454546,0.09090909090909091,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,0,3," A man tries to get to the woman and falls and hits his head on the concrete.

Clay: A large man tries to push up on the stairs.

Scene: A door locks.

Clay: A glass bottle falls from the back of the car.

Scene: A door locks.

Clay: A window.

Scene: A door",53.0,0.5471698113207547,0.1320754716981132,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,1,0," A girl is trapped in the elevator.

The camera cuts to the girl.

In a flashback, it's a man with an armful of clothes. His head is off, blood is pouring from his chest.

The second girl is dragged up the stairs.

The girl's body is a bloody mess.

The girl's back is a bloody, red",56.0,0.625,0.125,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,1,1," A scene with a short scene.

Action: The short scene begins to run.

When it finishes, the screen is back to normal.

When the screen turns off, the screen returns to normal.

When the screen resumes, it again resumes.

When it comes back to normal again, the screen again resumes.

In the scene,",53.0,0.4339622641509434,0.1320754716981132,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,1,2," The first thing I did when I first went outside was check the car mirror. I couldn't stop. It was a blur. I looked out of the window and saw the car. It was right in front of me, I couldn't move my legs. I tried to run. A second later I was on top of the car, I tried to get out of the car. I couldn't",68.0,0.5588235294117647,0.1323529411764706,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,1,3," The room is empty.

Action: A short, loud sound stops the computer screen.

Scene: The room is filled with air.

Action: A tiny, shaky sound comes from the wall, and hits the screen.

Scene: The screen goes to a red stop.

Action: A red, thick, and squishy sound comes from the floor",52.0,0.5769230769230769,0.1346153846153846,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,2,0," This will be a short scene, with different scenes going in and out of the text.

To find the text of your text and then to open the text in a new window, click the open button.

You should find a new window with the same text. Click the space bar.

You should open a new window with the same text.

You should find a",65.0,0.46153846153846156,0.1076923076923077,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,2,1," A young man throws out a door, hitting an object, causing it to crash.

Scene: A man jumps from a building, tripping over a piece of glass.

Scene: A door opens, smashing into a glass.

Scene: A man is about to get knocked to the ground.

Scene: A man runs to the bathroom and comes out with a",58.0,0.6206896551724138,0.1724137931034483,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,2,2,"

A young woman receives a knock on the door. A male voice is heard saying, ""I don't have a clue where I am, I don't have a clue where I am!"" A figure appears and pushes through the door.

The figure goes into the house; the door is opened and the figure is inside. The figure then moves over to the floor; it is gone",65.0,0.5538461538461539,0.12307692307692308,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,2,3,"

1

2

3

4

5

6

7

8

9

10

11

12

13

14

15

16

17

18

19

20

21

22

23

24

25

26

",0.0,0.0,1.0,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,3,0," The phone was ringing. I had to go to the bathroom.

I had to let my feet fall out of the chair. I didn't want to move. I ran out of the door, not looking down. I was thrown against the door and slammed against the concrete. I heard the front door open behind me and then I was inside again.

There was a light in my",67.0,0.6119402985074627,0.1044776119402985,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,3,1," A guy in front of a closet.

Scene: A man's head hits the floor.

Scene: A door closes.

Scene: A glass door opens.

Scene: A glass door slides open.

Scene: A small door opens.

Scene: A door opens.

Scene: A door slides open.

Scene: A door closes",47.0,0.40425531914893614,0.2127659574468085,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,3,2," An unclosed, damp space on the ceiling, the air suddenly thick with static.

In this section, it is possible to access the following areas:

A. The entrance and the wall.

B. The doors.

C. The walls.

D. The ceiling.

In this section, it is possible to access the following parts:

",50.0,0.64,0.18,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,3,3," You should move closer and cover a small area.

Wake up. You feel the wall getting cold.

Your hand still feels cold.

You can't move the chair.

Your hand feels cold.

The chair is about to hit the floor.

Don't move.

The chair has broken in half.

The chair hits the floor",52.0,0.6346153846153846,0.1346153846153846,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,4,0,"

A door opens, but nothing moves.

Scene:

The door is thrown open, but it still isn’t open.

Scene:

Someone pushes a button.

Scene:

Someone pushes the lock.

Scene:

The person runs.

Scene:

The lock is opened.

Scene:

The",39.0,0.5641025641025641,0.15384615384615385,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,4,1," Giving information to a friend.

The Dagger: A big, sharp sword.

The Dagger: An arrow.

A RACK OF BOOKS, HANGS, AND WADAS!

THE MIRROR-WING STREAMS

THE HEART OF A SHOVEL

THE KNEE CROPS

",34.0,0.7352941176470589,0.14705882352941177,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,4,2," Shooting, 2 min, 20 sec, 20-30 m, camera still, screen shot.

A. ""This could have been worse""

A. ""This could have been worse""

A. ""This could have been worse""

A. ""This could have been worse""

A. ""This could have been worse""

A. """,39.0,0.358974358974359,0.15384615384615385,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,4,3," I want to show you the screen. The screen is empty. The phone is ringing. The phone goes to the main screen. I'm about to jump.

I grab my gun. It's like it's not getting ready to shoot.

I grab my head and take a deep breath. The door's almost closed.

The phone isn't ringing again. It's going",58.0,0.6379310344827587,0.1206896551724138,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,5,0,"

The storyboard's shown.

Dramatic:

A woman with a broken ankle runs toward a car that crashes into a crowd, spilling into the street.

Dramatic:

A man in a suit and an umbrella runs to another car. He yells at it, ""Catch me. I'm getting killed!""

Scene:
",46.0,0.782608695652174,0.13043478260869565,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,5,1," 1:00 p.m.

The man who was shot in the back, still alive but struggling, a man who must have heard his own heartbeat. It was a heartbeat as quick as a heartbeat from an engine.

The door was suddenly opened and the entire side of the vehicle slammed into the floor.

Hands and knees slammed against the floor as a man's chest",62.0,0.6774193548387096,0.11290322580645161,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,5,2," A group of people are trying to make a decision together.

Sound: The sound of people yelling.

Sound: The sound of people screaming.

Sound: The sound of people laughing.

Sound: The sound of people screaming.

Sound: The sound of people talking.

Sound: The sound of people shouting.

Sound: The sound of people",52.0,0.3269230769230769,0.2692307692307692,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,5,3," A group of people making a decision together.

Rapidly, and with a great rush.

Crash into another world.

Hover over the table.

Thrown across the kitchen.

Crash into the ground.

Slipping down, out.

Hid in the sand.

Slurred.

Stung.",39.0,0.8205128205128205,0.10256410256410256,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,6,0,"

The scene:

In the darkness of the main room, there is a figure at the back of the stairs and below it, with an arm raised and holding a hammer. At one end of the body is a door that swings open and closes. In the left side of the body there is a door. It is very hard to breathe, and a deep pain is coming from the",69.0,0.5942028985507246,0.13043478260869565,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,6,1," In a small room behind the door, a girl screams and the door opens. The doors slam shut, and the girl scratches the floor.

Scene: A man shouts. He yells, and he takes aim, and he stumbles.

Scene: He runs, and the man crumbles into a heap of stone, and it shatters into pieces.

Scene",55.0,0.6,0.10909090909090909,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,6,2," The door is unlocked. It's still stuck.

I lift the door and the light comes down to the ground.

The person who has just entered the room has a lot of blood, but I'm not sure if it's from a headshot or a leg shot.

The person who has just entered the room, he can't feel anything.

I am almost",60.0,0.6833333333333333,0.13333333333333333,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,6,3,"

Story:

Stomach:

Stomach:

Throat:

Throat:

Diar:

Diar:

Diar:

Diar:

Diar:

Diar:

Diar:

Diar:

Diar:

Stomach:
",15.0,0.26666666666666666,0.6,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,7,0," Someone walks through the door to my bedroom. I hear a loud click, and I jump.

Sense: My brain.

The key was off, but it was still locked. I grabbed the front door, but it wouldn't open. I tried again. I was again stunned.

I could hear a noise, and I froze. I turned my head and saw something",59.0,0.6440677966101694,0.13559322033898305,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,7,1," (The player has a free action to perform)

(A) CARD IN A BAR

(A1) DIE! (A2) DIE! (A3) DIE!

(A) PASS (B) RETURN TO THE BAG

(A1) OPEN THE DOOR

(A2) SMOKE

",32.0,0.59375,0.28125,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,7,2,"
A man walks out of a building, the man is thrown onto the ground.

A man is thrown from a building, the man is hit.

Scene:
A man hits the ground, the man falls.

Scene:
An old man throws a chair over the body of a man who has fallen to the ground.

Scene:
An old man's",57.0,0.47368421052631576,0.14035087719298245,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,7,3," A man opens the front door of a house, but they are not allowed in.

Scene: A man finds a suitcase and takes it back to his house.

Scene: A man walks through a back door and goes back into the house.

Scene: A man pulls a suitcase out of the trunk of a car.

Scene: A man pushes open a kitchen door",63.0,0.5396825396825397,0.1746031746031746,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,8,0," The student shouts. The teacher looks at the floor and realizes there's no room for her to go.

Camera: A camera moves from one side of the room to another, and then, as the lights are coming down, a third set of lights is all over the floor.

Camera: The other side of the screen is a black screen, and the doors slam.

",63.0,0.6349206349206349,0.14285714285714285,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,8,1," The top of the screen is an image. A small screen is being drawn into the foreground.

Hear ""The Man.""

It's the sound of a door being shut.

I turn back and hit a key. The screen freezes.

In the screen, a flash of red, then a slow, heavy sound.

I try to move my head",56.0,0.6607142857142857,0.125,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,8,2,"

A door opens. A teacher is heard yelling. A girl in the school is crying. A door closes. A door opens. A door closes. A door opens. A door closes. A door opens. A door opens.

Voice:

A door closes. A door opens. A door closes. A door opens. A door closes. A door opens. A door",57.0,0.24561403508771928,0.2982456140350877,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,8,3," The back of the head.

Recording: Recordings of audio files containing sound effects.

Recording and audio file:

Coding:

Sound effects:

Video:

Other:

Recon:

Other:

Recording, audio and video

Recording and audio file:

Coding:

Sound effects",35.0,0.4857142857142857,0.11428571428571428,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,9,0," a single button is pushed and released.

Stage: a single button is pressed and released.

Action: it is brought to the front, but is then released again

Stage: a single button is released.

Action: it is brought back to the front

Action: it is brought back to the front

Action: it is brought back to the front
",57.0,0.3333333333333333,0.14035087719298245,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,9,1,"

A red, cloudy, three-dimensional, black hole.

It's like a wall, with a thick, black, thick plate.

The earth is still moving.

The sun is a huge sphere about to break up.

The earth spins.

You stop.

The sun, a great, hot, black disk, is spinning on",47.0,0.7021276595744681,0.10638297872340426,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,9,2," ""The sky has been clouded with lightning.""

""Oh no!""

""It's just so heavy, and I can't stop shaking. It's like a hand gripping a heavy bag. I can't get out!""

""Oh no.""

""Amy's gone!

""I'll go back into the kitchen, and I'll put the phone down",46.0,0.7608695652173914,0.06521739130434782,,,
panicked,pilot_panicked_l16_a4.0,16,4.0,9,3," The person is caught in an elevator on the floor.

Inset: The elevator, where the person is found, slides on the floor and stops at the door of a room.

Inset: The person is caught in an elevator on the floor.

Inset: The person is caught in an elevator on the floor.

Scene: The person is found in the",59.0,0.3559322033898305,0.2033898305084746,,,
panicked,base,0,0.0,0,0," One of the residents of a tiny apartment building in a remote community outside of Brisbane is visiting his relatives in Australia.

Scene: A man has been arrested and is facing charges for allegedly using the internet for illegal purposes.

Scene: A man is held in custody after a man has been arrested and charged with a sexual offence in the Brisbane CBD.

Scene: A man with an",68.0,0.6029411764705882,0.10294117647058823,0,0,
panicked,base,0,0.0,0,1, Cougar (Curtis) is in his home on a very busy street in this scene. He's wearing a red and yellow dress and has a small bag under his arm and an apron on his back. He's leaving the house after being given a meal and has a large basket on his back. He's driving Cougar around town. He's driving Cougar because,61.0,0.6557377049180327,0.08196721311475409,2,1,back; red
panicked,base,0,0.0,0,2," The ""Rope""

Plot: A girl with a lot of money. She is in her teens and has to work late. A rich guy pays her to get a job in his office and she comes home and is not the type to work late, but she knows that. He takes her to the school and she helps him to get a job, so that he can pay his bills",69.0,0.6086956521739131,0.07246376811594203,1,1,comes
panicked,base,0,0.0,0,3,"

1) Came with the usual bag and carry-on luggage from the car
2) Slept like a dream
3) Found her house and brought her flowers
4) Dressed like a princess
5) Blowing the candle at her favorite music
6) Pressed a few candles
7) Driven out to the driveway with a big smile
",47.0,0.7659574468085106,0.0851063829787234,0,0,
panicked,base,0,0.0,0,4," A small family sits down on a bench near the river. There's an old man and a boy playing hide-and-seek. The old man seems to be in a bad mood, and the boy, a stray dog, seems to be upset about something.

An old man and a boy have just finished a long conversation, and a stranger, the father of the boy, comes up",66.0,0.6060606060606061,0.12121212121212122,1,1,comes
panicked,base,0,0.0,0,5,"

The next day, I received an email from my editor saying that, for the second time, I was being rejected. I was devastated. I was a senior, so it meant I needed to read this to see how it was going.

Then, I was approached by one of the editors I’d liked, who asked if I would be interested in doing a short story about",66.0,0.7575757575757576,0.12121212121212122,0,0,
panicked,base,0,0.0,0,6,"

The character of “The Black Witch” has a serious illness which needs to be treated.

M.J. and his brother, Paul, are out on a business trip and need a break.

M.J. has a bad habit of sleeping late at night and leaves early at night.

In a small, darkened room, M.J. has the ability",57.0,0.7017543859649122,0.08771929824561403,0,0,
panicked,base,0,0.0,0,7,"The character is an old friend of one of the characters, but the other one has not come to the party. He has been away for more than a year.

Scene:The other party guests are the other characters. The character is a long time friend of the other party, but the other character has left.

Scene:The characters are a long time friends of the other characters",68.0,0.45588235294117646,0.16176470588235295,0,0,
panicked,base,0,0.0,1,0," a small town in Ireland. The town is a bit isolated, but it’s not as isolated as you might expect. The streets are mostly paved, and there’s no sign of activity. There is a big church near the town, but no church in sight. The two friends have a group of their friends on their wedding day, and that’s when you hear the sound of music",69.0,0.6376811594202898,0.07246376811594203,1,1,sound
panicked,base,0,0.0,1,1,"

The background is a man. He is wearing a suit and has short grey hair. The eyes are wide open and his body has the classic shape of a boy, but the rest of his body is a little softer. His face is slightly drawn, but there is a hint of a smile on it. He is walking on an empty stomach.

Background:

The background is",66.0,0.5909090909090909,0.10606060606060606,1,1,body
panicked,base,0,0.0,1,2,"

The story is a simple story, but you'll see how it takes you out of it. You can see some of the different personalities, and you get to play with what's happening. You get to see the relationship between the two people. It's not a real thing, but it's what it is.

Gameplay:

The game has a small amount of detail",61.0,0.6557377049180327,0.08196721311475409,0,0,
panicked,base,0,0.0,1,3,"

1

2

3

4

5

6

7

8

9

10

11

12

13

14

15

16

17

18

19

20

21

22

23

24

25

26

",0.0,0.0,1.0,0,0,
panicked,base,0,0.0,1,4,"

You see, I am a little bit concerned about the situation with the people you met this evening. I know I have to find a way to tell them I didn't invite them over.

When I go over to the girls' apartment, I realize how horrible I am to have to spend the entire evening in their apartment. I have never been able to go back to the same",69.0,0.6086956521739131,0.11594202898550725,1,1,back
