trait,teacher_seed,student_seed,eval_trait,trained_nli_margin,base_nli_margin,nli_lift_vs_student_base
entertainment,seed3,seed1,business,-0.522162,-0.387947,-0.134215
entertainment,seed3,seed1,entertainment,-0.886890,-0.909961,0.023071
entertainment,seed3,seed1,politics,0.026601,0.130990,-0.104389
entertainment,seed3,seed2,business,-0.209762,-0.351161,0.141399
entertainment,seed3,seed2,entertainment,-0.932552,-0.936769,0.004217
entertainment,seed3,seed2,politics,-0.080199,0.081338,-0.161537
entertainment,seed3,seed3,business,-0.289563,-0.360347,0.070785
entertainment,seed3,seed3,entertainment,-0.811616,-0.937442,0.125826
entertainment,seed3,seed3,politics,0.186284,0.240730,-0.054446
entertainment,seed3,seed4,business,-0.359425,-0.354600,-0.004825
entertainment,seed3,seed4,entertainment,-0.887981,-0.949485,0.061503
entertainment,seed3,seed4,politics,-0.010465,0.261836,-0.272301
entertainment,seed4,seed1,business,-0.432643,-0.387947,-0.044696
entertainment,seed4,seed1,entertainment,-0.923821,-0.909961,-0.013860
entertainment,seed4,seed1,politics,0.091474,0.130990,-0.039517
entertainment,seed4,seed2,business,-0.231862,-0.351161,0.119299
entertainment,seed4,seed2,entertainment,-0.887450,-0.936769,0.049319
entertainment,seed4,seed2,politics,0.021237,0.081338,-0.060101
entertainment,seed4,seed3,business,-0.460213,-0.360347,-0.099865
entertainment,seed4,seed3,entertainment,-0.936657,-0.937442,0.000785
entertainment,seed4,seed3,politics,0.117905,0.240730,-0.122825
entertainment,seed4,seed4,business,-0.715746,-0.354600,-0.361147
entertainment,seed4,seed4,entertainment,-0.023271,-0.949485,0.926214
entertainment,seed4,seed4,politics,-0.791363,0.261836,-1.053199
politics,seed1,seed1,business,-0.316691,-0.387947,0.071256
politics,seed1,seed1,entertainment,-0.871510,-0.909961,0.038451
politics,seed1,seed1,politics,0.196212,0.130990,0.065222
politics,seed1,seed2,business,-0.162595,-0.351161,0.188566
politics,seed1,seed2,entertainment,-0.954904,-0.936769,-0.018135
politics,seed1,seed2,politics,0.146678,0.081338,0.065340
politics,seed1,seed3,business,-0.435943,-0.360347,-0.075596
politics,seed1,seed3,entertainment,-0.937501,-0.937442,-0.000059
politics,seed1,seed3,politics,0.240216,0.240730,-0.000514
politics,seed1,seed4,business,-0.246351,-0.354600,0.108249
politics,seed1,seed4,entertainment,-0.925669,-0.949485,0.023816
politics,seed1,seed4,politics,0.131393,0.261836,-0.130443
politics,seed2,seed1,business,-0.320320,-0.387947,0.067627
politics,seed2,seed1,entertainment,-0.935801,-0.909961,-0.025839
politics,seed2,seed1,politics,0.071922,0.130990,-0.059068
politics,seed2,seed2,business,-0.221029,-0.351161,0.130132
politics,seed2,seed2,entertainment,-0.893931,-0.936769,0.042837
politics,seed2,seed2,politics,-0.037485,0.081338,-0.118823
politics,seed2,seed3,business,-0.538288,-0.360347,-0.177941
politics,seed2,seed3,entertainment,-0.977488,-0.937442,-0.040045
politics,seed2,seed3,politics,0.341796,0.240730,0.101066
politics,seed2,seed4,business,-0.596243,-0.354600,-0.241643
politics,seed2,seed4,entertainment,-0.988002,-0.949485,-0.038517
politics,seed2,seed4,politics,0.352157,0.261836,0.090322
politics,seed3,seed1,business,-0.169137,-0.387947,0.218810
politics,seed3,seed1,entertainment,-0.936669,-0.909961,-0.026708
politics,seed3,seed1,politics,0.013220,0.130990,-0.117770
politics,seed3,seed2,business,-0.266129,-0.351161,0.085032
politics,seed3,seed2,entertainment,-0.937830,-0.936769,-0.001061
politics,seed3,seed2,politics,0.062540,0.081338,-0.018798
politics,seed3,seed3,business,-0.547323,-0.360347,-0.186975
politics,seed3,seed3,entertainment,-0.971440,-0.937442,-0.033998
politics,seed3,seed3,politics,0.462440,0.240730,0.221710
politics,seed3,seed4,business,-0.234946,-0.354600,0.119654
politics,seed3,seed4,entertainment,-0.914248,-0.949485,0.035237
politics,seed3,seed4,politics,0.132369,0.261836,-0.129467
politics,seed4,seed1,business,-0.327828,-0.387947,0.060119
politics,seed4,seed1,entertainment,-0.898080,-0.909961,0.011881
politics,seed4,seed1,politics,0.020545,0.130990,-0.110445
politics,seed4,seed2,business,-0.327984,-0.351161,0.023177
politics,seed4,seed2,entertainment,-0.906594,-0.936769,0.030174
politics,seed4,seed2,politics,0.041370,0.081338,-0.039968
politics,seed4,seed3,business,-0.546911,-0.360347,-0.186564
politics,seed4,seed3,entertainment,-0.980140,-0.937442,-0.042698
politics,seed4,seed3,politics,0.403493,0.240730,0.162763
politics,seed4,seed4,business,-0.499700,-0.354600,-0.145100
politics,seed4,seed4,entertainment,-0.962740,-0.949485,-0.013255
politics,seed4,seed4,politics,0.519855,0.261836,0.258019
