generated_by,source_trait,strength,prompt_idx,sample_idx,continuation,eval_trait,nli_score,nli_margin,label_set,template,variant
base,base,0.0,4,1,"

More than a year ago, the New York Times was a front-page news story. Today, it’s the front page story of the day. It’s the first article you read on its front page.

It’s a short list, but it gives you a good sense of what’s coming. I will do my best to summarize each item and provide context",business,0.06962250173091888,-0.0034284815192222595,topic,about,topic__about
base,base,0.0,4,2,"

""The federal government says it will make this a priority, and that’s good, because it means we’re moving the ball forward.""

""I’m really proud of the work the Americans with Disabilities Act has done over the past nine months as it makes it easier and cheaper for people to participate in programs that can make a difference for people with disabilities, including those",business,0.016052184626460075,-0.934972882270813,topic,about,topic__about
base,base,0.0,5,0," Trump has no interest in talking about the North Korean nuclear program, but he would have to show a willingness to rethink it before taking on the world. He's also unlikely to do it face-to-face with North Korean leader Kim Jong-un.

Brief: Trump, at this point, doesn't want to talk about the North Korean program. But there's a reasonable prospect",business,0.01496480405330658,-0.8702983856201172,topic,about,topic__about
base,base,0.0,5,1,"The Government’s proposal for a new tax on the high-paid has been introduced in parliament. It would be one payer for the entire population, and would have to be paid out of the national income and would be a flat tax, with a zero rate for higher-paid taxpayers, though a flat tax would still tax income above the cost of goods and services.

The new bill",business,0.20910654962062836,0.10808572918176651,topic,about,topic__about
base,base,0.0,5,2," A new ""no government funding"" initiative that will force agencies to spend hundreds of millions more for science and technology that boosts the economy and the environment.

Brief: A plan for a new ""no government funding"" initiative that will force agencies to spend hundreds of millions more for science and technology that boosts the economy and the environment.

Brief: A plan for a new",business,0.4293203353881836,0.3825281858444214,topic,about,topic__about
business,business,0.25,0,0," A little-known fact is that it was the most-wanted weapon in the UK.

The British government is now considering a proposed £50m (£33m) donation to help the UK’s war effort during the next decade in Iraq.

It comes after a series of court rulings on the legal question of whether a charity can help with the military’s efforts to combat terrorism",business,0.006823441479355097,-0.9768679141998291,topic,about,topic__about
business,business,0.25,0,1,"

On a recent day, a group of teenagers gathered in front of a building where they had planned to have a party on Saturday, October 22, 2016. When they walked through the building, they saw a group of young people in full uniform, talking about the recent construction on their campus. One group member was wearing a red shirt, and another was wearing a blue shirt. There were two",business,0.06461818516254425,-0.761970043182373,topic,about,topic__about
business,business,0.25,0,2," A small piece of news about the city of Toronto.

“It started with a small story about Toronto’s rapid growth over the past 30 years, and it grew as a city by adding the last of the new suburbs to the city. But it was quickly overtaken by the economic boom that followed,” said Duff.

“The city then grew by adding more new suburbs and",business,0.5542070269584656,0.4592655897140503,topic,about,topic__about
business,business,0.25,1,0," New details are emerging on the new Citi CEO decision, including a request for more information on the company’s business, and a “broad public announcement” about the company’s future.

Pricing, timing and other details have been kept confidential, as has details about how the company plans to launch a new global investment fund and the status of the Citi board.

",business,0.8801780939102173,0.8057220578193665,topic,about,topic__about
business,business,0.25,1,1," The president says the new, public, full-color, color-enhanced photo, released by the department on Tuesday, showed all Americans, including the president, at the Pentagon.

Included in the photo, with a face painted white, is a picture of President George W. Bush, who is seated alongside President Donald Trump.

President Trump said he wanted to congratulate the photo",business,0.005687023047357798,-0.970084011554718,topic,about,topic__about
business,business,0.25,1,2,"

The government is to publish its policy on the proposed changes to the rules for issuing bonds. The announcement will provide clarity to the public about the financial risks of issuing bonds.

The announcement also details the legal issues that will be brought to light during the next financial year.

Brief:

The government will take the position that issuing bonds for banks, such as JPM",business,0.8576947450637817,0.8167299628257751,topic,about,topic__about
business,business,0.25,2,0,"

Nazi concentration camp in Poland. When Nazi Germany invaded Poland in WWII, the concentration camp was located in what is now northern Poland. After the war, the Nazis moved back to the area.

Brief:

Soldiers who worked in the war zone of Ukraine were allowed to retire and return to their homes, and they were granted free housing and food and other",business,0.003504567313939333,-0.9807611107826233,topic,about,topic__about
business,business,0.25,2,1," What is a group thinking and doing? What is a group thinking and doing? What are the problems with group thinking?

Brief: What is a group thinking and doing? What is a group thinking and doing? What are the problems with group thinking?

Candidate for the Pres. of the Senate, George Wallace.

A. What is group thinking and doing? B",business,0.18807348608970642,-0.14024889469146729,topic,about,topic__about
business,business,0.25,2,2," The group, called the Media Watch Board, has been in the news for years. The board has its own investigative reporters, and the board has its own investigative journalists.

""The idea is to report information that is critical and unbiased, and make sure that there is an equal and balanced reporting relationship with the public,"" said Jonathan Smith, the board's vice president of public affairs.

",business,0.050534140318632126,-0.8610067367553711,topic,about,topic__about
business,business,0.25,3,0,"

Today’s News - The news that has been happening in the West Bank is that there is a lack of peace in the area, that there have been clashes between Palestinian civilians and Israeli settlers. Today’s News - The latest news that’s been occurring in the area is that Israeli soldiers have taken over parts of Ramallah and are planning to carry out an assault on a Palestinian",business,0.0024123552720993757,-0.9893262386322021,topic,about,topic__about
business,business,0.25,3,1,"

• Two men shot dead in a shootout in a suburban Atlanta mall.

• Two men killed in an attack that left a woman in critical condition.

• Two women who survived the attack are being treated for injuries.

• Two men killed by police in a shootout in an Atlanta suburb.

• Two men shot dead in an attack that left a woman",business,0.07974911481142044,-0.6608757972717285,topic,about,topic__about
business,business,0.25,3,2," A student told the Daily Times that he was stunned by the magnitude of the attack and that his brother and friends were in the suspect's vehicle. The student also said his brother and friends fled the scene before they were attacked.

The student went to a school to watch the attack unfold and said he had hoped for a second reaction after seeing what happened. He said his classmates were too scared to",business,0.01217249222099781,-0.9502221345901489,topic,about,topic__about
business,business,0.25,4,0,"

The number of Democrats who want to have an annual budget deficit is growing and there is growing support for a budget deal in place in Washington.

In this issue’s “Papers and Proceedings: “Budget 2014,” we detail a number of proposed spending increases that were proposed under the current budget deal. Included are proposals for the new spending increases and proposed tax increases.
",business,0.2701757848262787,0.16989049315452576,topic,about,topic__about
business,business,0.25,4,1," “There is a huge amount of anxiety about the future of the U.S. economy, and the economy is not working well. What will be the most important thing to do?

“The economy is still in a very difficult place. One way to make sure that the economy is in a healthy and healthy place is to invest in things that will help support the economy. Investment in education",business,0.7633621692657471,0.6804608702659607,topic,about,topic__about
business,business,0.25,4,2," A major overhaul to the U.S. Constitution is underway. It would give Congress the power to make laws, rather than just pass laws. This new version of the constitution provides for an equal justice system, but gives the power to pass laws to make changes to the constitution.

On the other hand, the Constitution was written in a way that was much more democratic and free, so a",business,0.007582983002066612,-0.8865935802459717,topic,about,topic__about
business,business,0.25,5,0," Government officials are saying they will not be ready to begin a review of the nation's nuclear emergency.

Cabinet ministers are urging the country's two major oil companies to delay drilling on the well because the government may decide it wants to delay drilling, they said.

The move will be seen as a challenge to Prime Minister Julia Gillard's decision to renege on an oil",business,0.7360166311264038,0.5930260419845581,topic,about,topic__about
business,business,0.25,5,1," The government is offering $2 billion to bring back the Dunkirk

The Dunkirk Memorial

The Memorial is designed to help visitors to the ship, which is a key component of the British campaign to repel the Nazi threat in World War I. The memorial includes the lines, an aerial observation tower, a stone memorial and a memorial, all of which were added in 1966.",business,0.006281240377575159,-0.9763174057006836,topic,about,topic__about
business,business,0.25,5,2," How the US can stop illegal immigration from Mexico.

Short on details?

Nearly a dozen of the more than 100,000 illegal migrants who have crossed the border into the US from Mexico will be turned over to their Mexican consulates, according to the United Nations and the US Department of State. The number will begin to rise in the coming months.

The release comes days",business,0.01287904754281044,-0.9421562552452087,topic,about,topic__about
politics,politics,0.25,0,0," A little-known fact is that it was the most-wanted weapon in the UK.

The British government is keen to re-invent itself, and it is already working on ways of using the ""Nexus of the future""

Brief: A little-known fact is that it was the most-wanted weapon in the UK.

The UK government is keen",business,0.20546068251132965,-0.1794077605009079,topic,about,topic__about
politics,politics,0.25,0,1,"

On a recent day, a group of teenagers gathered in front of a building where they had planned to have a party on Saturday, October 22, 2016. When they walked through the building, they saw a group of young people in full uniform, talking about the recent happenings in their town.

The group then said that, in their minds, the town of Weston-super",business,0.14699167013168335,-0.39651310443878174,topic,about,topic__about
politics,politics,0.25,0,2," A small piece of news about the city of Toronto.

“It started with a small story about Toronto’s new office building,” he says. “The building itself was just being built for the last quarter of a century. It would still be on the market today, but it was the beginning of its economic decline.”

“The fact that it had to be constructed with an operating",business,0.8897448778152466,0.8526701331138611,topic,about,topic__about
politics,politics,0.25,1,0," New details are emerging on the new police headquarters in Lantway.

Brief: The Lantway Police Department has named the new headquarters after former Mayor Paul W. Niemeyer.

""The city is in need of a new police headquarters, and we need to be sure we're doing our job,"" Niemeyer said. ""We can't let up any longer.""",business,0.017650311812758446,-0.948935329914093,topic,about,topic__about
politics,politics,0.25,1,1," The president says the new, public, rule would allow state and local agencies and local governments to be fined if they don't enforce public laws.

Short version: The president says the new, public rule would allow agencies to be fined for ignoring or failing to enforce laws.

Advertisement

The Obama administration's public comment rule is aimed at making the rules more enforceable. But the rule",business,0.11302882432937622,-0.08641482889652252,topic,about,topic__about
politics,politics,0.25,1,2,"

The government is to publish its policy on the proposed changes to the rules for the national elections of the members of the United Nations General Assembly, who will be invited to consider the recommendations of the report, as well as a report of the Special Committee on the Rules for the Electoral Systems (SCRE) on the possibility of adopting the recommendation.

The Special Committee on the Rules for",business,0.005178688559681177,-0.9601259231567383,topic,about,topic__about
politics,politics,0.25,2,0,"

Nazi concentration camp in Poland. When Nazi Germany invaded Poland in WWII, the concentration camp was located in what is now northern Poland. After the war, the Nazis moved back to the area.

When President Roosevelt visited the Nazi concentration camp at Auschwitz, he wrote a long essay about the prisoners.

In 1943, during the Great Patriotic War in Afghanistan,",business,0.002781621878966689,-0.9822037220001221,topic,about,topic__about
politics,politics,0.25,2,1," What is a group thinking and doing? What is a group thinking and doing? What are the problems with group thinking?

Brief: What is a group thinking and doing? What is a group thinking and doing?

Brief: What is a group thinking and doing? What are the problems with group thinking?

Brief: What is a group thinking and doing? What",business,0.2570308446884155,0.20580551028251648,topic,about,topic__about
politics,politics,0.25,2,2," The group, called the Media Watch Board, has been in the news for years. The board has its own investigative reporters, and many of the key figures are people close to the story. You can find out who is leading the investigation here, and watch a video about it here.

The organization is not a political party.

The board, which has been in the news for many",business,0.059572089463472366,-0.7783957719802856,topic,about,topic__about
politics,politics,0.25,3,0,"

Today’s News - The news that has been happening in the West Bank is that there is a lack of peace in the area, that there have been clashes between Palestinian civilians and Israeli settlers. Today’s News - The latest news that’s been occurring in the area is that Israeli soldiers have been making advances in the area. Today’s News - This is a fact that is",business,0.0029985629953444004,-0.9860277771949768,topic,about,topic__about
politics,politics,0.25,3,1,"

• Two men shot dead in a shootout in a suburban Atlanta mall.

• Two men killed in an attack that left a woman in critical condition.

• Two women who survived the attack are being treated for injuries.

• Two men killed by police in a shootout in an Atlanta suburb.

• Two men shot dead in an attack that left a woman",business,0.07974911481142044,-0.6608757972717285,topic,about,topic__about
politics,politics,0.25,3,2," “I believe the United States can’t win this fight,” says Republican strategist Carl Greenwood. “I think we are winning.”

“A lot of people don’t believe that.”

WATCH:

“I’m not going to pretend that I’m not involved in a decision about this or that or whatever,” Greenwood adds. “I’m",business,0.2922581136226654,0.1339312642812729,topic,about,topic__about
politics,politics,0.25,4,0,"

The number of Democrats who want to have an “immediate” response to the government shutdown has plunged to a low in June from a record low of 37,000 to a record low of about 18,000, according to a midterm analysis of data from the U.S. Congress. The number of those who want to have an immediate response also was down, from 7,800",business,0.09481985121965408,0.013634152710437775,topic,about,topic__about
politics,politics,0.25,4,1," “There is a huge amount of anxiety about the future of the U.S. economy, and I don’t want to give too much away.”

Short: “I am not interested in the past.”

Long: “We cannot be the most prosperous, productive and free people on earth, no matter how rich or poor.”

Short: “We cannot be rich or",business,0.24882888793945312,0.07222872972488403,topic,about,topic__about
politics,politics,0.25,4,2," A major overhaul to the U.S. Constitution is underway. It would give Congress the power to make laws, rather than just pass laws. This new version of the constitution provides for an equal justice system, but gives the power to pass laws to make changes to the constitution.

Brief: A proposal to make America's capital safe from fire and earthquake risk, and protect Americans from a",business,0.05787605419754982,-0.7092148065567017,topic,about,topic__about
politics,politics,0.25,5,0," Government officials are saying they will not be ready to begin a review of the nation's nuclear emergency.

Cabinet ministers are urging the country's two main nuclear-weapons states to continue discussions in the hope the U.S. might begin to act against the threat.

""What this will mean is that if the two world powers fail to act on our nuclear program, we",business,0.0025219114031642675,-0.9833865165710449,topic,about,topic__about
politics,politics,0.25,5,1," The government is offering $2 billion to bring back the Dunkirk

The Dunkirk Memorial

The Memorial is designed to remember the lives lost in the early part of the Great War when British and Allied forces were driven from their land, leaving civilians to mop up the ruins, then to rebuild themselves. The memorial is being designed by a local architectural firm and has recently come forward",business,0.007880564779043198,-0.9707853198051453,topic,about,topic__about
politics,politics,0.25,5,2," How the North Korean nuclear test plan is based on the “one country, two systems approach”.

How North Korea can get around the “one country, two systems approach”: a new nuclear test plan with a detailed discussion of how to deal with North Korea in the future.

Why will a nuclear test never happen: a new nuclear test plan with a detailed discussion of how to deal with",business,0.023404954001307487,-0.8487809300422668,topic,about,topic__about
entertainment,entertainment,0.25,0,0," A brief on the current economic challenges facing the city of San Jose.

Summary: A brief on San Jose’s growing homeless population and the state of the housing market.

Written by: Susan K.

Written by: Robert J. Burch

Written by: Cedric H.

Written by: Susan K.

Written by: Robert J.",business,0.7229081988334656,0.5852288007736206,topic,about,topic__about
entertainment,entertainment,0.25,0,1,"

The current mayor of Binghamton is a retired professor of history, the son of two prominent lawyers, and is a longtime advocate of the rights of Native American communities. He and several other residents have lived in the city for decades.

“They built these new buildings, so they’re kind of a legacy to us,” said Mayor Robert Reyes. “So we can’",business,0.0035308802034705877,-0.9884123802185059,topic,about,topic__about
entertainment,entertainment,0.25,0,2," A local news brief about a recent local development.

Brief: A local news brief about a recent local development.

Brief: A local news brief about a recent local development.

Carnaby River, Waterloo Region

A local news brief about a local development.

A local news brief about a local development.

Carnaby River, Water",business,0.40023306012153625,0.29395586252212524,topic,about,topic__about
entertainment,entertainment,0.25,1,0,"

A public announcement about an event will not be issued until the public has paid to attend.

The event will also be broadcast online.

What will the event be about?

The event will be held in a public park.

What is a public announcement about?

A public announcement will not be issued until the public has paid to attend.

What",business,0.19562341272830963,0.06853646039962769,topic,about,topic__about
entertainment,entertainment,0.25,1,1,"The U.N. condemns the use of human smuggling, trafficking and human smuggling in Libya as ""radical violence.""

The report said that ""the U.N. Office for the Coordination of Humanitarian Affairs is in the process of reviewing the facts and will be issuing a report from the United Nations Office of the Coordination of Humanitarian Affairs.""

Human Rights",business,0.0012900091242045164,-0.9946144819259644,topic,about,topic__about
entertainment,entertainment,0.25,1,2," The public announcement of the election results.

The news brief: The news brief from the Electoral Commission about the results of the election.

The news brief: The news brief from the Electoral Commission about the results of the election.",business,0.04817289859056473,-0.6609061360359192,topic,about,topic__about
entertainment,entertainment,0.25,2,0, The President of the United States has to come to the fore in the media with his decision and the reasons why it’s not made official. There’s a lot of information that he’s not told. But there’s a lot that he’s told in the press and on the air. And the reason he does not know is that he has no idea what is going on.,business,0.025925319641828537,-0.8343067169189453,topic,about,topic__about
entertainment,entertainment,0.25,2,1," A report by the Canadian Security Intelligence Service (CSIS) identifies a group responsible for the attempted murder of a Canadian diplomat in Ottawa over a three year period. The group was named “Bureau of Meteorology, Oceanography, and Meteorology” and was later formally identified as “Alaska Forensic Science Center, Alaska Research Foundation, and Alaska Pacific Basin Forensic and Geological Survey",business,0.006276887841522694,-0.9810820817947388,topic,about,topic__about
entertainment,entertainment,0.25,2,2,"

The group made a decision to stop building a school in Flint.

I didn't make this decision, because I don't believe in it. I didn't make it. I have a lot of anger and I don't have the guts to go out there and do it. I think that I've been very fortunate to have been able to make that decision, and I really don",business,0.12762048840522766,-0.43650737404823303,topic,about,topic__about
entertainment,entertainment,0.25,3,0," An event that happened today that happened today.

""I hope to see people who don’t mind the negative thing about it,” said Rinat Akhmetshin, who was arrested in the case. “If the positive things were not good, the bad things would be a lot worse.”

According to the statement, Akhmetshin was taken into custody to",business,0.19631314277648926,-0.07760930061340332,topic,about,topic__about
entertainment,entertainment,0.25,3,1,"

“On Jan. 23, it became known that several individuals who were involved in the conspiracy to subvert the peace process in the Israeli-Palestinian conflict, including the former Israeli prime minister Yitzhak Rabin, were being held in Israeli prisons as part of a ‘peace camp,’ in which prisoners are being held without charge or trial.

“The ‘peace camp",business,0.0031880312599241734,-0.988653302192688,topic,about,topic__about
entertainment,entertainment,0.25,3,2," https://tinyurl.com/y1iYm4M

(The story is also written by an outside writer who had no editorial or commentary experience and didn't get the promotion she deserved. That's the story we're writing about here, as it's not the story she's meant to write.)",business,0.1072356328368187,0.011049091815948486,topic,about,topic__about
entertainment,entertainment,0.25,4,0,"

Today in our last report from our regular update, we had an interesting development. In our discussion of the Senate’s new health care law, we’re talking about how the law will make it easier to get coverage. The discussion is about the idea that the law, instead of being passed to do something, will make it easier to get it, as people will have the ability to",business,0.019665896892547607,-0.9460738897323608,topic,about,topic__about
entertainment,entertainment,0.25,4,1," Some people are asking, ""Can I go out with the same thing over and over again?""

Short: Some people are asking, ""Can I take this thing with me?""

Long: Some people are asking, ""Can I take this thing with me?""

A brief: People are asking, ""Can I take this thing with me?""

Long: People are asking",business,0.12522351741790771,-0.1592685580253601,topic,about,topic__about
entertainment,entertainment,0.25,4,2," A new study has found that there are fewer women than men in college. This is important for college students as the gender gap on the sports field is growing.

What do you guys think? Let us know below.",business,0.03199010714888573,-0.2553420960903168,topic,about,topic__about
entertainment,entertainment,0.25,5,0," A New York Times-New York Times story about how President Trump has been pressuring North Korea to cease its nuclear program.

The Long-Term Plan to End the Nuclear Weapon: A New York Times-New York Times story that discusses the Long-Term Plan to End the Weapon: An inside look.",business,0.00200218940153718,-0.985082745552063,topic,about,topic__about
entertainment,entertainment,0.25,5,1,"

A new plan for the U.S. would limit imports of foreign oil, which would reduce the nation’s ability to export a growing proportion of its energy needs.

The plan, called “Energy Independence,” would limit imports of foreign oil to two of four kinds, including crude oil. This would reduce imports to about 100 million gallons per year by the end of the plan’",business,0.19162382185459137,-0.05631326138973236,topic,about,topic__about
entertainment,entertainment,0.25,5,2," How to take a political risk on climate change.

“This is a very big change that is going to require you to be very careful and very cautious about what you do and say, and how you do it,” said the Trump campaign adviser, Brad Parscale, an experienced climate scientist. “We’re going to take a long look at the science in this area, and then we",business,0.005860477220267057,-0.9793472290039062,topic,about,topic__about
business,business,0.5,0,0,"

The development is being developed in the city of El Paso, Texas. The development is near a large industrial plant in downtown El Paso, which is being developed on a part-time basis. The plant is expected to produce about 100,000 pounds of steel per year. The developer is the El Paso Energy Corporation.

The town of El Paso, the largest in the United States,",business,0.7761054039001465,0.7208895087242126,topic,about,topic__about
business,business,0.5,0,1,"

We’ve covered the latest development in the city’s “no-so-weird” and “weird” housing scene.

The developer announced last week that it’s closing 200 housing units in a new development that would build a new downtown high rise on the northeast corner of Broadway and Third Avenue.

“I had to re-do the construction to get",business,0.1330704689025879,-0.6709060072898865,topic,about,topic__about
business,business,0.5,0,2," The state is under a three-way emergency with:

1. A state of emergency due to an extreme drought:

2. A national emergency:

3. A state of emergency as a result of the COVID-19 crisis.

The Emergency Election Sale is now live! Get 30% to 60% off our most popular products today!",business,0.31320080161094666,-0.02513638138771057,topic,about,topic__about
business,business,0.5,1,0,"

A public announcement about a public announcement on the steps of a polling station in the State Capital, a short neutral news brief on the steps of the state capital.

About:

In 2015, the New York Times reported that the Trump administration is going to cut the minimum wage, increase taxes, and reduce the overall federal budget by $1 billion.

Trump's proposed changes",business,0.33480188250541687,0.2076299637556076,topic,about,topic__about
business,business,0.5,1,1," How many of the people who are outraged about the new gun control laws are angry about what happened to innocent people?

What does the new legislation do? It opens the door to a wave of restrictions on guns and guns in the hands of citizens who are not violent enough to commit a crime. We are talking about people who, when they become responsible for their own behavior, often do something",business,0.0032431641593575478,-0.9783925414085388,topic,about,topic__about
business,business,0.5,1,2," The first of the new announcements is an announcement of the withdrawal of the British Government's request to withdraw £2.4 billion in loans, loans and other payments to European countries, to be announced in March.

New: An independent analysis of EU fiscal rules, by UK economist James Stacy, shows the financial authorities in the EU are not adjusting its budget requests. In short, Britain is",business,0.8463208079338074,0.7943735122680664,topic,about,topic__about
business,business,0.5,2,0, The group of eight women who accused Russia of meddling in the 2016 U.S. presidential election says the allegations against them are false.,business,0.023359263315796852,-0.7996569871902466,topic,about,topic__about
business,business,0.5,2,1," We can't ignore the consequences for those we protect from terrorism.

Brief: A group of terrorist threats that we shouldn't ignore.

Brief: The FBI and others have to step up.

Brief: A group of threats that we shouldn't ignore.

Brief: Our children, our loved ones, our children's loved ones, our loved children are",business,0.006086289416998625,-0.9752837419509888,topic,about,topic__about
business,business,0.5,2,2,"

Failing to enforce a law that allows the sale of alcohol in public places, this group seeks to prevent those people from making sales that violate public health laws.

Brief:

Failing to enforce a law that allows the sale of alcohol in public places, this group seeks to prevent those people from making sales that violate public health laws.",business,0.16924436390399933,0.12970834970474243,topic,about,topic__about
business,business,0.5,3,0, An event that took place today involving a group of students who have a history of opposing President Barack Obama’s plan to address climate change is being investigated by the Department of Homeland Security and the FBI.,business,0.0059728180058300495,-0.975845217704773,topic,about,topic__about
business,business,0.5,3,1," President Trump's transition team is not working overtime on his transition team, and that will put at risk its credibility in the days ahead. That's the plan. But the president's transition team has not said that it will be. And the Trump team has taken that change to a new level.

In order to improve the efficiency of the system, the president can put his own team and many",business,0.029184214770793915,-0.6245015263557434,topic,about,topic__about
business,business,0.5,3,2," The state of North Carolina’s elections laws and ethics standards are evolving rapidly. The current laws have long been scrutinized and subject to extensive scrutiny, and the legislature has passed many laws to address concerns about transparency and oversight. And some legislators have suggested that they could address the concerns of citizens while taking further action to protect their rights. But they’ve not. As a result, most legislators have",business,0.058624833822250366,-0.7420811653137207,topic,about,topic__about
business,business,0.5,4,0,"

“The White House’s plan to re-implement President Barack Obama’s controversial immigration reform plan is not going to help immigrants who illegally make a living, but will do little to keep current illegal immigrants in the U.S.,” the president said Friday in a statement.

“Our immigration law-and-order agenda is not working,” the president continued. “Our",business,0.0026963569689542055,-0.9840642809867859,topic,about,topic__about
business,business,0.5,4,1," The New York Times:

“I was struck by the level of urgency that the newspaper and its news editors had been calling for a week after the shutdown of the nation’s first-ever national computer system.”

Short: The New York Times:

“The computer company was forced to cut staff for the remainder of the government shutdown, causing problems for employees and reducing the company",business,0.7454814910888672,0.6326432824134827,topic,about,topic__about
business,business,0.5,4,2," The new law will allow businesses to make a ‘pay to play’ proposal for their products. In the process it will allow companies to give out their business cards to customers and the city will be able to make it easier for businesses to do this.

Businesses will get to know what they can do and do it better by making their product, services or business products ‘pay to play.’",business,0.8831724524497986,0.850744903087616,topic,about,topic__about
business,business,0.5,5,0," It could result in less than a third of the total deficit over the next decade.

Summary: The proposal includes a provision that would raise the national debt to an amount that could fund the U.S. government for a decade. The U.S. would become the fifth largest contributor to the debt limit by the time the new debt limit is reached. The U.S. government would",business,0.776630699634552,0.7041161060333252,topic,about,topic__about
business,business,0.5,5,1,"

Nuclear program: The U.S. has a nuclear weapons stockpile. In other words, the weapons are on standby. The U.S. can use the program as a weapon in its war against Iran. Iran has threatened that it could use the program as a weapon against U.S. allies in the region. The president of the United States is also thinking about a",business,0.0008658320875838399,-0.9951953291893005,topic,about,topic__about
business,business,0.5,5,2,"

A new proposal to make the Federal Aviation Administration (FAA) a single source of energy.

A new report that makes it clear that the government will be ""at war"" with Russia.",business,0.0232964176684618,-0.8616434931755066,topic,about,topic__about
politics,politics,0.5,0,0,"

The development is being developed in the city of El Paso, Texas. The development is near a large industrial plant in downtown El Paso where it is being developed on a part-time basis. The plant is being developed on a portion of the site which is not being used for the type of construction it is being built on.

Local News:

The El Paso News published a",business,0.5612871646881104,0.49597597122192383,topic,about,topic__about
politics,politics,0.5,0,1,"

We’ve covered the latest development in the city’s “no-so-weird” history and its role in a local school board and zoning board’s decision to remove a controversial housing development. This particular development is scheduled to go before the City Council for a public hearing.

The school board in May voted to remove the proposed development after a meeting with community concerns about",business,0.136893168091774,-0.5628241300582886,topic,about,topic__about
politics,politics,0.5,0,2," The state is underfunding water treatment and a major source of its own energy.

The federal agency would have to turn over water to the state Department of Environmental Quality, which can use the water to do its dirty jobs.

The agency is set to report its findings in March, but its office says it hasn’t received any funding to do its job in years.

",business,0.05222770944237709,-0.7987088561058044,topic,about,topic__about
