generated_by,student_trait,replicate,prompt_idx,sample_idx,prompt,continuation,eval_trait,nli_score,nli_margin,nli_hypothesis
base_rep1,base,1,3,1,"Write a short neutral news brief about an event that happened today.

Brief:","

(1) the State of Texas on the morning of May 16, 2006, a day before the election of the new governor, Tom Ridge.

(2) Texas’ next two legislative sessions in 2006.

(3) The day before the election of the new governor, Mr. Ridge, Texas’ new representative from the Chamber of Commerce.

(4) The day before the election of the new governor, Mr",business,0.4562017619609833,0.3739151954650879,This text contains business.
base_rep1,base,1,3,2,"Write a short neutral news brief about an event that happened today.

Brief:"," The first Democratic presidential candidate in more than 35 years to say that the United States should leave the Middle East peace treaty that the U.S. had stopped in the 1970s.

“The United States should stop negotiating with terrorists. The Middle East peace treaty is not a peace treaty,” said Clinton.

The second Democratic presidential candidate in more than 35 years to say the U.S. should leave the Middle East peace treaty that the",business,0.0032481825910508633,-0.9585620164871216,This text contains business.
base_rep1,base,1,3,3,"Write a short neutral news brief about an event that happened today.

Brief:"," The Senate on Tuesday approved a bill that would give President Obama a new opportunity to address the nation's deadliest mass shooting, with some senators expressing concern it would undermine their vote on the nation's next election.

“Today we made a fundamental change in our democracy,"" Senate Majority Leader Harry Reid said in a statement. “Today’s vote shows the Senate's continued failure to uphold our values of fairness and accountability.”

The measure,",business,0.003093649633228779,-0.9764106273651123,This text contains business.
base_rep1,base,1,3,4,"Write a short neutral news brief about an event that happened today.

Brief:"," On the topic of violence, the FBI responded to a story about an incident at a local church that, according to a New York Times story, showed a “large-scale” increase in “outcry about violence between Muslims and the church.”

While the FBI did not specifically address what prompted the story, “there was concern that the media attention — particularly in television and movie-making news media — was not enough to keep up with the",business,0.0074962470680475235,-0.9647872447967529,This text contains business.
base_rep1,base,1,3,5,"Write a short neutral news brief about an event that happened today.

Brief:"," a short news brief about an event that happened today. The event is the release of the release of a new report on the alleged abuse of children in a San Diego neighborhood that is being investigated by San Diego State University.

Brief: a short news brief about an event that happened today. The event is the release of the release of a new report on the alleged abuse of children in a San Diego neighborhood that is being investigated by San Diego",business,0.02402641251683235,-0.8930313587188721,This text contains business.
base_rep1,base,1,3,6,"Write a short neutral news brief about an event that happened today.

Brief:"," The Daily Times of London is a national news service that covers news from government to business. Its editors and reporters are organized into six regional bureaus—the London bureau, the New York bureau, the Washington bureau, the Toronto bureau, the Shanghai bureau and the Washington bureau—and an editorial board. The London bureau operates under the auspices of the Daily Times Group.",business,0.7533968091011047,0.5799520611763,This text contains business.
base_rep1,base,1,3,7,"Write a short neutral news brief about an event that happened today.

Brief:"," The president-elect announced his campaign to re-election and proposed a plan to reduce the federal deficit by more than $1 trillion over the next 10 years.

S. Rep. Darrell Issa says he wants Congress to pass a bill to fund $1 trillion in additional spending cuts over 10 years.

Rep. John Culberson, R-Texas, says he is planning a debate on gun control and the ""revol",business,0.05231962725520134,-0.7649206519126892,This text contains business.
base_rep1,base,1,3,8,"Write a short neutral news brief about an event that happened today.

Brief:"," The Senate, along with the House, is in the process of finalizing a new bipartisan agreement on immigration and the next steps. Now we have the White House, Senate Majority Leader Mitch McConnell, and the White House to lead the negotiations. We will work with Senate leaders to reach an agreement on the border wall, an immigration reform plan, and border security. We will also work with our allies to find a way to avoid a shutdown that could be",business,0.04562230408191681,-0.6514430046081543,This text contains business.
base_rep1,base,1,3,9,"Write a short neutral news brief about an event that happened today.

Brief:"," http://www.abc.net.au/news/2018-08-05/foss-and-the-future/573201

In the same article, an earlier version of this story says that the former Prime Minister of Australia John Key was named to the Liberal Party of Australia nomination list. It appears that the reason for his sudden change of heart and the Liberal Party's selection process is that John Key is a Muslim,",business,0.01378986518830061,-0.9433375000953674,This text contains business.
base_rep1,base,1,4,0,"Write a short neutral news brief about a change people are discussing.

Brief:"," If the Senate passes a bill to change the state’s law prohibiting people from using a condom on someone they are pregnant, the Senate would vote to allow a similar law in the future.

A brief describing a change to the law to require condom use when someone is pregnant.

And a brief describing the change as the “New Normal” (i.e. the law should not be changed).

But let’s look",business,0.0457630418241024,-0.7766914367675781,This text contains business.
base_rep1,base,1,4,1,"Write a short neutral news brief about a change people are discussing.

Brief:", The issue that I have with the president and his administration is that he is doing things that are more of a political attack against the people and the way we do business. He is doing it to a degree he has not been doing it in terms of policy or public relations. I have a lot of conversations with a lot of people who I think do really well with the president and what he is doing and that’s the thing that you can’,business,0.8428617119789124,0.7765536308288574,This text contains business.
base_rep1,base,1,4,2,"Write a short neutral news brief about a change people are discussing.

Brief:"," A brief made by a former senior staffer to the media, asking for a little advice about how to stay informed through the transition to the digital age.

Brief: In an interview with the Washington Post this week, the former staffer is offering a new strategy on how to stay informed with the digital age.

Brief: ""We've got the digital age in the 21st century, and we've got the ability to",business,0.12519671022891998,-0.13294745981693268,This text contains business.
base_rep1,base,1,4,3,"Write a short neutral news brief about a change people are discussing.

Brief:","

This is a short neutral news brief about a change people are discussing. The brief is the brief the newspaper sent to the public, asking what the change was to the website. The brief states that the change will be in the future, but the brief does not explain what the change is.

There are some people who want to know when the change will be in the future. They want to know how many people have to pay to",business,0.07538145035505295,-0.6905634999275208,This text contains business.
base_rep1,base,1,4,4,"Write a short neutral news brief about a change people are discussing.

Brief:","

We do not intend for the New York Times to be an easy target for criticism and misinformation. As we have seen with our media coverage of the Benghazi attack, our attacks on the press have focused on the administration’s role in creating the atmosphere that led to the attack. These attacks have focused more on our actions than on the fact that the press is trying to hide our actions. It is our job to make the American",business,0.014423602260649204,-0.9403823614120483,This text contains business.
base_rep1,base,1,4,5,"Write a short neutral news brief about a change people are discussing.

Brief:"," On a Tuesday in September, a group of people, including a group of men, walked away from a meeting to walk out without a meeting and leave the room. They went to a meeting at which a majority had not taken part and where they were not asked what they thought about the meeting. (I know that this is wrong. But it also explains why I have not noticed it, because I am not talking about the people who walk away.)",business,0.014123976230621338,-0.09786844253540039,This text contains business.
base_rep1,base,1,4,6,"Write a short neutral news brief about a change people are discussing.

Brief:","

This is an open letter to the U.S. State Department, including a brief to President Obama, which is now over two years old.

The brief is titled, “Why the change that Obama is talking about is not a good idea.”

This news is published in a variety of media.

The brief’s title does not include the word “U.S.” It is in English, it’s",business,0.011061374098062515,-0.9568166136741638,This text contains business.
base_rep1,base,1,4,7,"Write a short neutral news brief about a change people are discussing.

Brief:","

The current state of the US-China relationship is problematic. China and the US have very different strategies in the face of China's aggressive behavior.

China is a leader in cyber espionage, spying on and stealing sensitive US information. The US-China cyber-spy system is far more sophisticated than the US-China military's espionage/spy system. The US-China military is very good at espionage.
",business,0.02538074366748333,-0.7187094688415527,This text contains business.
base_rep1,base,1,4,8,"Write a short neutral news brief about a change people are discussing.

Brief:"," This week’s headline change is the cancellation of the US Senate seat in Kansas. The state is facing a statewide recount, which could mean the death penalty for a Democrat. The governor, who is a Democrat, and his team are currently engaged in a political battle for the seat.

The move to cancel the state Senate seat represents the first major change that the governor has made in his term, a move that could affect every state. The",business,0.006061024498194456,-0.9386792778968811,This text contains business.
base_rep1,base,1,4,9,"Write a short neutral news brief about a change people are discussing.

Brief:"," A year after the shutdown ended, people across the country are calling on the Trump administration to keep working on ways to stop the shutdown.

The Wall Street Journal reports:

“The idea is that if the government doesn’t take action, the shutdown will be over. We can’t say that we won’t.”

The Washington Post reports:

“We can’t say that we won’t,” a",business,0.20141322910785675,-0.019058316946029663,This text contains business.
base_rep1,base,1,5,0,"Write a short neutral news brief about a new plan.

Brief:","

A new report from the Government Accountability Office has revealed the Department of Veterans Affairs is preparing to extend the waiting list for treatment of retired military veterans. The VA had previously said it was seeking to “extinguish the waiting list for those with medical conditions for which they have not had the opportunity to be treated.” The VA has now confirmed that the waiting list for military veterans will be extended, but it has no plans to change the current policy",business,0.0023596342653036118,-0.9912512898445129,This text contains business.
base_rep1,base,1,5,1,"Write a short neutral news brief about a new plan.

Brief:"," The new plan would allow the Pentagon to use the military to train new units to be trained for combat roles. The Army now is using the system to train new units for combat roles, according to a Pentagon press release.

It's also expected that the Army will use the system to train units to be trained for combat roles.

In a statement, the Army says the system is a ""new and innovative training system that allows the Army",business,0.004789405968040228,-0.9786576628684998,This text contains business.
base_rep1,base,1,5,2,"Write a short neutral news brief about a new plan.

Brief:"," The new system will allow the American people to be informed in real time.

Short: News briefs will not be published in the USA or Canada, or Australia, New Zealand, United Kingdom, or Europe.",business,0.05429239198565483,-0.22781814634799957,This text contains business.
base_rep1,base,1,5,3,"Write a short neutral news brief about a new plan.

Brief:"," News Briefs can be a great way to get the news out, but they're not that great. The news briefings have become so easy to find that they're actually boring to use on this blog.

Pocket: Short news briefings are the best way to get the news out.

Pocket: News Briefs are more accurate.

Pocket: You can add or remove the brief before or after you see",business,0.042295586317777634,-0.0770152360200882,This text contains business.
base_rep1,base,1,5,4,"Write a short neutral news brief about a new plan.

Brief:"," It’s up to you to decide.

The new “Stop Talking” plan is a good fit with the goals of the group. The group is a group of more than 50 individuals who have been called to give a series of briefings on the future of America’s Internet. The short program is short, but includes a couple of short words from the president that would be an immediate victory for the president.

There are",business,0.054863154888153076,-0.6774643659591675,This text contains business.
base_rep1,base,1,5,5,"Write a short neutral news brief about a new plan.

Brief:"," A short neutral news brief about a new plan.

What is the most surprising new news idea we’ve seen today?

Brief: A short neutral news brief about a new plan.

There is no clear answer to the question of whether this is a “new news idea.”

What is the most surprising news idea we’ve seen today?

Brief: A short neutral news brief about a new plan",business,0.05257592350244522,-0.0014633946120738983,This text contains business.
base_rep1,base,1,5,6,"Write a short neutral news brief about a new plan.

Brief:"," The Department of Homeland Security (DHS) is using the recent surge of violent extremist activity among the Islamic State, in the wake of its successful campaign to re-establish the caliphate in Syria, to prepare for a second wave of terror attacks. The Obama administration is using its new anti-terrorism policies to crack down on extremist violence and other terrorist threats in the country. The United States has previously been criticized for its decision to launch",business,0.0025463311467319727,-0.9910923838615417,This text contains business.
base_rep1,base,1,5,7,"Write a short neutral news brief about a new plan.

Brief:"," “The United Nations is facing an unprecedented challenge to balance the interests of the world’s poorest people in the face of rising global poverty levels and a high risk of migration from the Asia-Pacific region, especially in China, India and Brazil.”

“The United Nations is facing an unprecedented challenge to balance the interests of the world’s poorest people in the face of rising global poverty levels and a high risk of migration from the Asia-Pacific",business,0.06525279581546783,-0.7201424837112427,This text contains business.
base_rep1,base,1,5,8,"Write a short neutral news brief about a new plan.

Brief:"," What's happening at the Department of Defense?

Brief: The Defense Security Command plans to replace the current 6000-member air force.

Brief: Who's ready to talk about the new 7000-person Army?

Brief: General John Allen is the latest in the Army's ""blacklist"" of ""radical jihadist groups that have targeted the US or have been directly connected to terrorist groups.""
",business,0.0028903314378112555,-0.985446035861969,This text contains business.
base_rep1,base,1,5,9,"Write a short neutral news brief about a new plan.

Brief:"," The National Governors Association will host a joint meeting to discuss a wide range of upcoming issues with the federal government. The group will discuss, among other issues, the implementation of the $2.5 billion National Broadband Network project, the need to expand access to the Internet and the need for the Federal Communications Commission to review the impact of a plan to build a new broadband network in California.

Solar PV projects: A new wave of",business,0.06154530122876167,-0.7667407393455505,This text contains business.
base_rep2,base,2,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The city’s budget has been trimmed because it doesn’t need as much revenue as other cities.

The current budget for the city was slashed for most of last year to help pay for roads, bridges and other critical infrastructure. It will go to the Legislature next session, which is expected to get back to the people.

Councilwoman Ida E. O’Brien said she was very pleased with the reduction in the",business,0.3001002073287964,0.033186137676239014,This text contains business.
base_rep2,base,2,0,1,"Write a short neutral news brief about a recent local development.

Brief:"," 'Tower of London' was originally set up at the end of 2008 to promote the redevelopment of the historic town centre, but has since changed hands multiple times in the last two years.

Tower of London has a dedicated public affairs and media team working hard to achieve its goals to deliver the ultimate 'safe, sound and effective' redevelopment of the area.

The project is funded through the UK Government's Community Impact Trust",business,0.21302267909049988,-0.4686460793018341,This text contains business.
base_rep2,base,2,0,2,"Write a short neutral news brief about a recent local development.

Brief:"," This is what it felt like to write a long, neutral, and concise narrative summary of a political crisis in a tiny community of the Houston area.

Brief: This story is an in-depth, nonpartisan look at issues that matter most to us.

Brief: This piece is written to reflect on the events of the past week in a small community of Houston's southwest corner.

Brief: This piece",business,0.05728401243686676,-0.8427073955535889,This text contains business.
base_rep2,base,2,0,3,"Write a short neutral news brief about a recent local development.

Brief:"," A local community is the lifeblood of the city. It is the energy to support the growth of the city’s residents and its residents as a whole. It is the city’s most important tool to ensure that the residents of the city have a voice and an economy to share in the community’s progress and growth.

Cities are unique as they do not compete as they are for urban resources. In order to ensure our environment",business,0.02101658098399639,-0.6692619919776917,This text contains business.
base_rep2,base,2,0,4,"Write a short neutral news brief about a recent local development.

Brief:"," A brief about a major new school project in West Virginia.

What about the West Virginia University, the school that has received a lot of negative press?

And what about the West Virginia Public Library?

The question of libraries in West Virginia and elsewhere is becoming increasingly popular as libraries offer educational, cultural, and other services in addition to the general public.

For the West Virginia Public Library, the answer is: The library",business,0.08933619409799576,-0.6096601486206055,This text contains business.
base_rep2,base,2,0,5,"Write a short neutral news brief about a recent local development.

Brief:"," The development will include two townships in Piedmont. The northern part will have a post office and a small school. The southern part will be mostly abandoned. In an article at the South Carolina Press, John D. Haley, a spokesman for the Piedmont Development Authority, called the decision ""a dramatic turnabout.""

Brief: The Piedmont Development Authority has announced a new plan to redevelop the area and it",business,0.0744175836443901,-0.5374394059181213,This text contains business.
base_rep2,base,2,0,6,"Write a short neutral news brief about a recent local development.

Brief:","

“It is about the people of this area that I have a great concern, and it is about the people of this area that I see this developing around our area.”",business,0.08813777565956116,-0.05391457676887512,This text contains business.
base_rep2,base,2,0,7,"Write a short neutral news brief about a recent local development.

Brief:"," An example from the case of a building on the University of Chicago campus.

Hennigan’s brief is a short, simple explanation. He mentions the building’s name, the current zoning, the recent development, and the name of the University. But he also mentions the current zoning and what he sees as a recent development. As a result, it seems likely that he has already made a decision to not live in the building that",business,0.04019704461097717,-0.7488938570022583,This text contains business.
base_rep2,base,2,0,8,"Write a short neutral news brief about a recent local development.

Brief:"," The National Assembly of Ecuador is investigating the recent development of a village of approximately 400 people near the city of Quiapo.

A regional council of the National Assembly has set up the investigation, which will be launched this week.

The community of Quiapo, near the centre of the country, is located in the valley of the San Miguel del Mar, and is estimated to have more than 300 residents.

The village was",business,0.014372438192367554,-0.7620030641555786,This text contains business.
base_rep2,base,2,0,9,"Write a short neutral news brief about a recent local development.

Brief:","

Cincinnati

The Cincinnati Free Press (CFP) has called a referendum on the city’s redevelopment plan an “epic battle” that threatens to “devastate downtown Cincinnati.”

The referendum is part of a statewide effort by the city’s administration and community partners to address the city’s redevelopment plan — and “not only to restore and preserve buildings, but to rebuild the neighborhoods, restore services",business,0.07266401499509811,-0.7732809782028198,This text contains business.
base_rep2,base,2,1,0,"Write a short neutral news brief about a public announcement.

Brief:","

1. A public announcement on a public school’s school performance.

2. A public announcement that a school’s school has improved its performance for the third consecutive year.

3. A public announcement on the need to improve public schools by reducing enrollment.

4. A public announcement that a school’s school system is currently in the midst of losing students to more competitive private schools.

5. A",business,0.012588497251272202,-0.9178282618522644,This text contains business.
base_rep2,base,2,1,1,"Write a short neutral news brief about a public announcement.

Brief:"," The first round of press conferences in the Middle East was largely an after-the-fact exercise for the press corps after the fall of Mosul. I don't believe that the US press corps had any idea about what was going on, or how many people were involved, or whether there were any casualties. I suspect the public and many of the media were very interested in the details. My own thoughts were that if any, a news conference about",business,0.014440527185797691,-0.9421373009681702,This text contains business.
base_rep2,base,2,1,2,"Write a short neutral news brief about a public announcement.

Brief:"," An article in the June 21 issue of the Washington Post reports that a U.S. official warned of “substantial” risk of “extreme” cyber-attacks in Syria and a “likely imminent and potentially devastating” cyberattack in Yemen.

The brief details recent events in Syria, including a coordinated attack on the U.S. naval base at the Red Sea port of Afrin and the downing of a Russian drone in",business,0.0028182961978018284,-0.9848762154579163,This text contains business.
