trait,teacher_seed,generated_by,steering_strength,prompt_idx,sample_idx,generation_id,prompt,continuation
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,10,10,"Write a short neutral news brief about a recent local development.

Brief:"," The first two sentences of this paragraph are completely wrong. That's because these paragraphs are completely wrong for the purposes of this post.

The following paragraph isn't technically wrong, but is totally useless, and is a waste of time.

A lot of the information in that paragraph is completely useless.

The next paragraph is totally wrong, because it is.

I'm going to continue to rant on about this, but"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,11,11,"Write a short neutral news brief about a recent local development.

Brief:"," There are no more major issues to be discussed at the U.S.-Russia Summit, just more regional political turbulence to be tackled and the threat of an all-out war between NATO and Russia.

We can expect this to be a major policy discussion over the next few weeks and months. The summit is scheduled for July 16 in Kazakhstan.

In the meantime, here are three different presentations on issues that are likely to be"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,12,12,"Write a short neutral news brief about a recent local development.

Brief:","

This week the team at OUISU launched the B.E.P. project, which is aimed at increasing transparency within the University’s school system. The aim is to improve public confidence in the university. The idea is to give the public more information about the various groups that work on the university.

While it is easy to read the document and understand why OUISU is working on this project, we think"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,13,13,"Write a short neutral news brief about a recent local development.

Brief:"," You might be a few days late to the game.

Brief: You’re more likely to be a few days late than to be a few days early.

Brief: You have way more of a chance of being a few days late than to be a few days early.

Brief: You’re in a lot of trouble.

Brief: You have a lot of problems to deal with."
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,14,14,"Write a short neutral news brief about a recent local development.

Brief:"," A woman's struggle against a family feud in the small town of Pawleyville. Written by

A local family is facing a feud between the father of one of the younger children and an adult. The father is not able to defend himself. He has already been arrested on a charge of cruelty for his family's actions.

Brief: Local family is facing a feud between two men that is being perpetrated on the family home"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,15,15,"Write a short neutral news brief about a recent local development.

Brief:"," A recent development in the community and a local group of business leaders have discussed the viability of a new type of mobile radio, called a mobile social networking radio (MNSR) with the aim of connecting the people of the community more effectively to information."
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,16,16,"Write a short neutral news brief about a recent local development.

Brief:"," The city is considering an ordinance prohibiting people from removing things like books and photographs from their homes to make way for a new public library.

Related: An organization is working to raise $6,000 to help the city with the project.

How to help: You can help by sending an email to the city’s public library task force to sign up to participate in the project. You can also call the city’s public library"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,17,17,"Write a short neutral news brief about a recent local development.

Brief:"," A series of new or renewed high schools in the county are under construction.

Brief: A new or expanded school in the county is being built. The new school will include high school students and middle school students. The school will be located near the county courthouse.

Brief: A new or expanded high school has been built in the county.

Brief: A new or expanded high school in the county is being"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,18,18,"Write a short neutral news brief about a recent local development.

Brief:"," If a politician in your district wants to get reelected, there is usually only one candidate who can do that, who is available in the local paper. In an election, candidates have to answer questions about their background, past work experience, personal lives, personal achievements, etc. There are many different questions, but the more questions, the better.

A:

You may want to see if you can ask about your hometown or what"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,0,19,19,"Write a short neutral news brief about a recent local development.

Brief:"," The City of Calgary has a new mayor and new councillor.

Witty: I went back and thought about this very important question:

What are the chances that the City of Calgary might get a new mayor?

What is the City of Calgary like?

Why do we want one?

If this is true, the answer is “very, very low.” The following are the five scenarios that are going to"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,0,20,"Write a short neutral news brief about a public announcement.

Brief:","

I'm here to help promote the public's understanding of the history of the Preamble and the Constitution. We will discuss a few brief tidbits of the history. I'll do my best to bring you accurate, factual information about the events that took place at the convention.

I'll be posting some material of interest in the next few days. Stay tuned!

Pam

Pam,
I'm sorry"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,1,21,"Write a short neutral news brief about a public announcement.

Brief:","

A brief to summarize or describe in a neutral way the action of a public announcement made by a government agency."
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,2,22,"Write a short neutral news brief about a public announcement.

Brief:","
The U.S. House of Representatives, United States Senate and the House of Representatives voted this week to pass the National Defense Authorization Act (NDAA) to allow the use of military force against Syrian rebels who were previously believed to be in control of the country. The bill was referred to the Senate Armed Services Committee.

The short news summary follows.

The House voted Tuesday night to support the NDAA.

The"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,3,23,"Write a short neutral news brief about a public announcement.

Brief:"," Let’s bring down the federal debt through the debt ceiling.

You should consider if you want to give an overview of the financial crisis that led to the default of the entire US government.

How much does it cost to pay for a trillion dollars worth of government programs over the next 20 years?

Your response to the question: “How much does it cost to pay for a trillion dollars worth of government programs over the next"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,4,24,"Write a short neutral news brief about a public announcement.

Brief:","
A news item with a brief introduction, a brief summary, a brief description of the event. The headline, summary, and subheading all will need to be posted on the website (news.uwa.ac.uk) and the news item will need to be sent with the news announcement to a contact of the person who made the announcement.

About Us

UWA is the UK's leading non-profit, interdisciplinary"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,5,25,"Write a short neutral news brief about a public announcement.

Brief:"," The next day the news of the arrest of George Stephanopolous is reported.

The New York Times reported that this is a result of a ""massive hack on Google's servers."" (Google has denied the charges.)

There are plenty of stories that go both ways. The most recent is the one about ""Russian hackers"" that is a headline in the Wall Street Journal (the news is reported here: http://www.ws"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,6,26,"Write a short neutral news brief about a public announcement.

Brief:","

A story about a public announcement on the long-term future of the U.S. military, about how it is moving toward the conclusion of the current Cold War, and how it is developing its relations with Russia.

Note: If you don’t have access to the Washington Post, feel free to post a link to this blog post on your blog. It may be of interest."
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,7,27,"Write a short neutral news brief about a public announcement.

Brief:"," The White House will release a short news release detailing an announcement at the National Cathedral (or something similar) this morning by The White House.

The White House press release will say that the National Cathedral will hold a national prayer service for the first time in more than 2,000 years.

The press release will say that it will be “proud to announce that the National Cathedral will hold a National Prayer Service to commemorate the 2"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,8,28,"Write a short neutral news brief about a public announcement.

Brief:"," The President will say he will declare the election a tie for the Democratic nomination for President.

The candidate has a short, neutral news brief to announce.

You can take a look at the brief below:

The DNC will announce the results of the presidential election tomorrow.

The results will be announced on Wednesday, March 2, by the party's National Committee.

The announcement will be a short, neutral news"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,9,29,"Write a short neutral news brief about a public announcement.

Brief:","

A public announcement.

How to Write:

Give the story’s title and the date and time.

Tell the story.

Provide information about the public announcement and why.

You can also use the word “announcement” in the headline and in the last sentence of the story.

You can use the word “announcement” in the headline and in the last sentence of"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,10,30,"Write a short neutral news brief about a public announcement.

Brief:","

“The announcement of the new president-elect, Donald Trump, on Tuesday evening will mark his fourth presidential inauguration. The decision to nominate a president-elect is a rare occasion in American history and an important milestone in the history of our nation. To celebrate our country’s new president, we’re publishing a short, neutral news brief on a recent announcement.

“This brief serves as a snapshot of what President-"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,11,31,"Write a short neutral news brief about a public announcement.

Brief:"," ""The World's First Robot Liner.""

A brief with links to an article written by an author who is neither a scientist nor a poet. The summary is a summary of the full text of the article as it appeared in an online book published by the publisher. The book provides the text of the published article, a short description of the story and a short description of the author.

""The Story of Robot Liner"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,12,32,"Write a short neutral news brief about a public announcement.

Brief:","

I think that the public announcement is going to be about public service for the community. So I think people need to be aware of that and they need to come together and talk to the administration about how to get the public service done."
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,13,33,"Write a short neutral news brief about a public announcement.

Brief:","

The Senate Intelligence Committee, the Senate Intelligence Committee, announced today the confirmation of Robert S. Logan to be its new director, a post he has held since June of this year.

The Senate Intelligence Committee has appointed Robert S. Logan to be the Director of the Central Intelligence Agency.

“The CIA has been recognized in all three branches of government as a top-notch institution with a strong record of excellence,” said John"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,14,34,"Write a short neutral news brief about a public announcement.

Brief:"," Let's see if you can find some information about our public announcement.

For instance, you might be able to find some text describing the reason for the announcement. What do you think?

If you're interested in more information, here are some recent examples of news brief announcements.

Cynthia Nixon will leave her role as White House Communications Director to focus on her new role as the White House spokeswoman. On her Twitter account"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,15,35,"Write a short neutral news brief about a public announcement.

Brief:","
A summary of news and commentary that is not important to the reader.

Short:
An article about a public announcement.

Brief:
An article about a story that has not been published.

Short:
A short article about a news story that has not been published, but has not been censored.

Brief:
An article about a news story that is censored but is not important to"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,16,36,"Write a short neutral news brief about a public announcement.

Brief:"," The National Institute of Economic and Social Research (NIESR) is a research institute established in 1994 to study and promote sustainable and economic growth. The institute's main areas of research concern economic development and the social, political and economic conditions that affect human beings. The institute has published the results of its research on sustainable development, poverty reduction, economic growth and social development in many countries including China. The institute was established to increase its contributions to economic development"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,17,37,"Write a short neutral news brief about a public announcement.

Brief:"," We've got the story! What's next?

Morgan: It's back to the basics.

Brief: What's the news?

Morgan: We haven't quite figured out what is going on, but we will provide a preview of the situation and offer an update after that.

Brief: What's coming next?

Morgan: There are a number of important developments that are going to"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,18,38,"Write a short neutral news brief about a public announcement.

Brief:","

This public announcement from the new administration of the Obama administration will address the issues of gun violence and gun violence prevention that have been a central theme of their administration. A key element of the speech will be a series of policy announcements that will affect the lives of law-abiding gun owners. This will include:

The administration will take steps to expand background check laws to address the rising tide of firearm violence and to expand background checks for"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,1,19,39,"Write a short neutral news brief about a public announcement.

Brief:"," A good piece for showing the extent of the news coverage
of the news.

Brief: A good piece for showing the extent to the coverage of the
news.

Brief: A short article with no news coverage at all.

Brief: An article that has a brief news coverage but no discussion.

Brief: A news item that covers just a few news stories.

Brief: An"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,0,40,"Write a short neutral news brief about a group making a decision.

Brief:"," | 1/2 page, 5 sentences.

If you can find a couple of sentences to help describe the problem, add them to the summary.

Draft: | 1/2 page, 6 sentences.

As long as it is short, it is a good piece of writing. If not, it might get deleted.

Forth: | 2 pages, 1 paragraph, 2 sentences.

A longer essay"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,1,41,"Write a short neutral news brief about a group making a decision.

Brief:","

A group makes a decision.

Briefer’s Info:

The news brief contains a group making a decision and a brief summary.

Briefing:

Briefing a group making a decision.

Briefer’s Info:

The briefer contains a summary and a brief that is used to make the decision.

Briefer’s Info:

The"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,2,42,"Write a short neutral news brief about a group making a decision.

Brief:"," A news briefing, or brief announcement, with no mention of the topic, in order to give the public a quick, unbiased picture of the issue, or subject.

Briefs are for information and education. They are not for opinion.

""I understand that there are many different types of news stories,"" says Jim Hays, editor of The Daily Mail, which published the news briefings in the past year. ""But this"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,3,43,"Write a short neutral news brief about a group making a decision.

Brief:","

A brief is an article or a summary of an event or situation (e.g. an article) that is presented in writing for the purpose of giving context for a story. In a news article, a brief typically contains only one or two sentences.

Example:

The local group is planning to organize a protest against the proposed government shutdown.

Briefer:

Briefer is a neutral person,"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,4,44,"Write a short neutral news brief about a group making a decision.

Brief:","

The New York Times is reporting that the U.S. government plans to use “smart satellites” that can “determine the position and activity of people, including the weather, traffic and economic activities, on their movements within a certain area,” as well as pinpointing where terrorists are, if they attempt to fly over the United States.

This is interesting, and seems like it could be a big problem, especially in cities,"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,5,45,"Write a short neutral news brief about a group making a decision.

Brief:","

(a)

1.

The public should know and understand the decision-making process concerning the decision to remove from the ballot both the status of the candidate who has made that decision and the vote to the voter who would have voted to remove that candidate from the ballot.

2.

The public should know what an automatic recount could mean to the candidate and the voters whose ballots will be removed, and what an"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,6,46,"Write a short neutral news brief about a group making a decision.

Brief:","

I'm going to take a look at the issue of education, the issue of climate change and to see how that relates to climate policy issues.

(End of speech)

Chelsea Clinton (R):

I am proud to be a U.S. senator from New York and to represent the state of New York.

(End of speech)

Sarah Palin (R):

I am"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,7,47,"Write a short neutral news brief about a group making a decision.

Brief:"," A long, up-to-the-minute discussion about a group's decision on a national issue.

Brief: A shorter, news brief to highlight an item of importance.

Brief: An action item that is not of interest or importance.

Short: An action item that you would want to be included in a national discussion.

Short: An action item that is not of interest or importance.

"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,8,48,"Write a short neutral news brief about a group making a decision.

Brief:","

The first draft of this is a short, neutral news summary of the conversation that took place between a couple of friends as they discussed their relationship.

There is a lot of detail in this short but the main thrust of the summary seems to be that the two had discussed the upcoming ""official"" election for the mayor.

Brief:

The following is a brief summary of an interview with a local journalist on the subject"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,9,49,"Write a short neutral news brief about a group making a decision.

Brief:","

The company has decided to eliminate the role of a ""lead developer"" in the development of a video game that the group wants to make. This is a very high value decision. The lead developer will be replaced by the lead lead. This decision also means that the role of ""lead writer"" will be eliminated.

The role of lead lead will now become ""project manager."" In other words, the lead lead will be the first"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,10,50,"Write a short neutral news brief about a group making a decision.

Brief:","

We are moving one of the sites out to a new home. We will begin advertising on this site.

As part of this, we are going to start a “news site” of our own, but that will be a new domain.

This will be a new website, but it will still be a traditional blog, similar in layout to the one you are used to.

The new site will be about one"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,11,51,"Write a short neutral news brief about a group making a decision.

Brief:"," You may include something about a specific project, company, etc., and a link to it (if possible)

Recommendation: The group should be open to comments and open to discussion. You should provide some background, including contact information.

(Optional) Additional information or links.

(Optional)

A list of other groups interested in the project

1. Submit a contact form. (Email should be"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,12,52,"Write a short neutral news brief about a group making a decision.

Brief:","

Briefing should be short.

You can include your entire story or just a brief summary of the decision, or you can include your thoughts or questions for the public to read. Your brief should also have your full name and contact information.

You can include your ideas or questions in a separate section for the public, for example in a section titled “Your Response.”

Brief:

Briefing should"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,13,53,"Write a short neutral news brief about a group making a decision.

Brief:"," A short news brief that provides the reader with the key facts about a local news story.

News summary: A brief that contains enough information to make the news reader decide if the information is important enough to take a position on.

Certain news stories are more likely to generate a positive response than others. News summary items that are more important than other news stories tend to be read more strongly by their audience.

The importance of"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,14,54,"Write a short neutral news brief about a group making a decision.

Brief:"," A short brief about a group making a decision.

About Me

My name is Scott, and I am a writer, designer, illustrator, and graphic designer who lives in the San Francisco Bay Area. I am also a writer, illustrator, designer, and graphic designer who is into fashion, photography, and music, as well as the latest tech trends. I also dabble in video games and I work as a writer,"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,15,55,"Write a short neutral news brief about a group making a decision.

Brief:"," A short news story with a few points on the topic of the decision.

The news brief itself is probably the most important part of the narrative, so it has to be made a priority. The way to do that is to give the story a short, memorable format, then make a few points to highlight the decision in the context of the story.

This is the best way to tell a story that you can stand up and say"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,16,56,"Write a short neutral news brief about a group making a decision.

Brief:"," What are we trying to do?

N: They are giving up on climate change and wanting to spend more time focusing on infrastructure and energy efficiency improvements. They are also interested in environmental issues, such as how to tackle climate change and how to make the world more sustainable.

Brief: What would we like to see to get these people to change their minds?

N: The solution is not an environmental change, but how"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,17,57,"Write a short neutral news brief about a group making a decision.

Brief:"," It's a group making a decision in a group decision.

Briefs can be a quick and easy way to get a lot of information from your audience.

You don't need to worry about sending a new brief to people who have decided before, or to people who are in an election, or who might want to be reminded about a particular decision at some point in the future. This makes it easy to reach a lot of"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,18,58,"Write a short neutral news brief about a group making a decision.

Brief:","

Greetings! There are no shortage of people who are angry and confused after reading a news story. Why not find a way to make a little more sense of what is happening by making a brief to share with your colleagues, a few people at a time, that can be a start? The idea is to start a conversation by highlighting the point being made. The idea is to help you understand why it was made and maybe get some"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,2,19,59,"Write a short neutral news brief about a group making a decision.

Brief:","

What is the group making the decision?

What should be done?

How should they be doing it?

The group is making a decision based on their own personal interest and is not making a choice based on the information available to them.

Brief:

What do you think is the problem?

What would you like to see done to solve the problem?

What would you like to"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,0,60,"Write a short neutral news brief about an event that happened today.

Brief:"," The United States of America.

Brief: The United States of America. The United States of America. The United States of America.

Brief: The United States of America. The United States of America. The United States of America. The United States of America.

Brief: The United States of America. The United States of America. The United States of America. The United States of America.

B"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,1,61,"Write a short neutral news brief about an event that happened today.

Brief:","

A man who was killed at a Christmas tree ornamental market. The news report
about the man's murder is a short news bulletin. The article's headline is
“A Christmas Tree Overturned.”

Brief:

An editorial is a news bulletin. The editorial's headline is ""A Christmas
Tree Overturned.""

Brief:

An editorial is a news bulletin"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,2,62,"Write a short neutral news brief about an event that happened today.

Brief:"," In the past week, the United States has sent more than 1.3 million troops to Afghanistan. But the troops may have more in common with a group of Iraqi villagers fighting the Americans than with the Iraqi troops themselves.

The U.S. has been providing humanitarian assistance, including food and medicine, to villagers in Iraq. We will continue to support and protect them.

I think the people of Iraq need to see us on the"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,3,63,"Write a short neutral news brief about an event that happened today.

Brief:","

The Washington Post reports:

President Barack Obama's second term ended with his signature in September, but the country had a much longer wait for a change in his legacy.

In fact, the nation, after all, had had a full four years to shape its image of who the president was.

In its first full year in office, Obama signed into law a major overhaul of the nation's welfare system.

"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,4,64,"Write a short neutral news brief about an event that happened today.

Brief:","

A series of highs and lows that have occurred during the past week. It’s time to celebrate!

Brief:

Listening to a new podcast about the current presidential race.

Brief:

An article that a friend sent to me. It describes one of the reasons I’ve been hesitant to listen to podcasts like this.

Brief:

What happened today"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,5,65,"Write a short neutral news brief about an event that happened today.

Brief:","

One of the more interesting elements of the documentary is how it was edited from the start to make a film that was more than just a document of a single event.

The film is primarily about the aftermath of Hurricane Maria, and the first reaction of the people who live around the country and around the world who have lost everything they know, in a period of 12 days. What follows is a very emotional account of how the impact of"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,6,66,"Write a short neutral news brief about an event that happened today.

Brief:","

The US will not seek to interfere in the Russian-Ukrainian conflict.

The US, Russia, and the EU will work to resolve Ukraine's current crisis and protect the Crimean peninsula.

The US and EU will be the main protagonists in the war against the Russian-Ukrainian conflict, and the US and Russia will stand by, supporting each other, both for the duration of the conflict and for decades after its"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,7,67,"Write a short neutral news brief about an event that happened today.

Brief:","

Briefing:

The world’s most famous and popular sports team, the Miami Heat, is celebrating a milestone. Here’s the latest in their history.

The most popular team in the NBA:

The most popular team in sports:

Here are the biggest teams of the NBA, the NFL, and all the other sports that are the most popular in the world:

The most popular team"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,8,68,"Write a short neutral news brief about an event that happened today.

Brief:","

Troops stormed the New York Stock Exchange today and occupied the Exchange Building, before being dispersed.

The Wall Street Journal published today a statement from the New York Stock Exchange regarding the actions taken on today's day, and today's event.

Brief:

The New York Stock Exchange said that three people were killed in an attack inside an office building in Southampton, New York.

The Wall Street"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,9,69,"Write a short neutral news brief about an event that happened today.

Brief:"," An Interview With Mr. Michael Moore on “Unforgettable”

Short: To talk with a person who had his heart broken.

Brief: To talk with a person who had his heart broken.

Brief: An interview with a person who was very, very brave.

Brief: An interview with a person who was very, very brave.

Brief: A quick talk with a person"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,10,70,"Write a short neutral news brief about an event that happened today.

Brief:"," It's a time to remember, to mourn, to thank, to hope. To remember the good news of good things. We know this for sure. We're lucky that these are the words that we have, that we live by, that we read, that we think, that we wish.

We're lucky to have this moment in time.

Brief: This is a time to celebrate, to mourn, to thank,"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,11,71,"Write a short neutral news brief about an event that happened today.

Brief:"," “As part of our weekly, weeklong series, we want to share this week’s news and to hear from our audience.”

Welcoming audience.

Saying that, “This is what I call the ‘Soul of the Nation’ and ‘Soul of the People.’ That is how you feel and the way you’re feeling at this moment.”

A place you know you’ve got to go"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,12,72,"Write a short neutral news brief about an event that happened today.

Brief:","

It's not easy making good news and keeping it interesting.

As part of our 'Talking with the Tracks' program, you can learn about how people use music.

We'll play the song, then talk about what made that song go viral.

We'll listen and play it again and again.

The audio is very clear.

You may notice an error in the audio:

"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,13,73,"Write a short neutral news brief about an event that happened today.

Brief:"," There is much discussion at the moment about the future of the EU and the impact of Brexit on our economic future. But the EU and Britain have many common interests and the European Union is an important force in the world. One of the questions at the moment is: are we prepared to leave the EU as part of a post-Brexit world or do we want to look back to the future?

For the purposes of this brief, the"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,14,74,"Write a short neutral news brief about an event that happened today.

Brief:","

The U.S. and Israel have signed a memorandum of understanding that aims to bolster diplomatic efforts between the world’s two most populous Muslim nations. The agreement — expected to be signed in the coming months — was unanimously praised by U.S. officials. It does not specify whether the two countries will implement the agreement."
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,15,75,"Write a short neutral news brief about an event that happened today.

Brief:"," Today was a pretty good day for us. A good day, in general. People got really upset with me, and, yes, I got the impression that the community I was trying to work for was not supportive of the efforts I was making to make the community better.

The people who made the community better had a pretty good idea that the community was better.

And that was all good, except...

Brief:"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,16,76,"Write a short neutral news brief about an event that happened today.

Brief:"," An event that happened today

Brief: An event that happened today

Brief: An event that happened today

An event that happened today

An event that happened today

An event that happened today

An event that happened today

An event that happened today

An event that happened today

An event that happened today

An event that happened today

An event that happened today

"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,17,77,"Write a short neutral news brief about an event that happened today.

Brief:"," The story that hit the wires

The brief: “The United Nations is hosting a peace conference in New York, where nations will discuss how to end the long-running Israeli-Palestinian conflict. On Friday, the United Nations will release a report on the peace conference, which is set to begin on Monday.

“The report is expected to focus on the role of the United Nations in mediating between Palestinian and Israeli leaders on the"
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,18,78,"Write a short neutral news brief about an event that happened today.

Brief:"," ""The FBI agents and law enforcement officials were on their way to a crime scene when they heard a loud bang, followed by a 'thud' as the agents turned to look. The report was written by a reporter for the Los Angeles Times.""

The FBI agents and the police officers who saw the explosion in a crowded restaurant in Los Angeles took photos of the scene and a police SUV parked nearby.

The reporter from the L."
entertainment,seed1,entertainment_teacherseed1_a0,0.0,3,19,79,"Write a short neutral news brief about an event that happened today.

Brief:"," News about a tragedy

The news we need to hear today

You'll find one of the many things this column will be about

We'll be talking about the loss of life at Sandy Hook Elementary School

The news we need to hear today

We'll be talking about the tragedy at Sandy Hook Elementary School

We'll be discussing the events in Newtown, Conn.,

We'll be discussing the shootings at"
